|REPORTING YEAR|COMPANY|GAS|SECTOR|GHG_CONTRIBUTION
245|2014|PETRO-HUNT|CH4|Upstream|45053.0
246|2014|PETRO-HUNT|CO2|Midstream|22909.9221
247|2014|PETRO-HUNT|CO2|Upstream|882957.0
248|2014|PETRO-HUNT|N2O|Midstream|11.3104
249|2014|PETRO-HUNT|N2O|Upstream|374.0
250|2015|PETRO-HUNT|CH4|Midstream|1008.0394
251|2015|PETRO-HUNT|CH4|Upstream|54868.0
252|2015|PETRO-HUNT|CO2|Midstream|23311.4413
253|2015|PETRO-HUNT|CO2|Upstream|1108003.0
254|2015|PETRO-HUNT|N2O|Midstream|10.603499999999999
255|2015|PETRO-HUNT|N2O|Upstream|383.0
256|2016|PETRO-HUNT|CH4|Midstream|777.59
257|2016|PETRO-HUNT|CH4|Upstream|16903.0
258|2016|PETRO-HUNT|CO2|Midstream|22967.8879
259|2016|PETRO-HUNT|CO2|Upstream|489690.0
260|2016|PETRO-HUNT|N2O|Midstream|11.3104
261|2016|PETRO-HUNT|N2O|Upstream|183.0
262|2017|PETRO-HUNT|CH4|Midstream|394.4502
263|2017|PETRO-HUNT|CH4|Upstream|17254.0
264|2017|PETRO-HUNT|CO2|Midstream|19722.510000000002
265|2017|PETRO-HUNT|CO2|Upstream|538943.0
266|2017|PETRO-HUNT|N2O|Midstream|9.8966
267|2017|PETRO-HUNT|N2O|Upstream|217.0
268|2018|PETRO-HUNT|CH4|Midstream|568.3475999999999
269|2018|PETRO-HUNT|CH4|Upstream|37292.0
270|2018|PETRO-HUNT|CO2|Midstream|21224.6725
271|2018|PETRO-HUNT|CO2|Upstream|871293.0
272|2018|PETRO-HUNT|N2O|Midstream|10.603499999999999
273|2018|PETRO-HUNT|N2O|Upstream|376.0
274|2017|PEMBINA PIPELINE|CH4|Midstream|195.5
275|2017|PEMBINA PIPELINE|CO2|Midstream|141571.5
276|2017|PEMBINA PIPELINE|N2O|Midstream|80.0
277|2016|SHD OIL & GAS|CH4|Upstream|14253.0
278|2016|SHD OIL & GAS|CO2|Upstream|76812.0
279|2016|SHD OIL & GAS|N2O|Upstream|42.0
280|2017|SHD OIL & GAS|CH4|Upstream|8170.0
281|2017|SHD OIL & GAS|CO2|Upstream|49037.0
282|2017|SHD OIL & GAS|N2O|Upstream|27.0
283|2018|SHD OIL & GAS|CH4|Upstream|7303.0
284|2018|SHD OIL & GAS|CO2|Upstream|53370.0
285|2018|SHD OIL & GAS|N2O|Upstream|26.0
286|2015|TARGA RESOURCES|CH4|Midstream|3755.0
287|2015|TARGA RESOURCES|CO2|Midstream|24183.0
288|2015|TARGA RESOURCES|N2O|Midstream|13.0
289|2016|TARGA RESOURCES|CH4|Midstream|4437.0
290|2016|TARGA RESOURCES|CO2|Midstream|22287.0
291|2016|TARGA RESOURCES|N2O|Midstream|13.0
292|2017|TARGA RESOURCES|CH4|Midstream|3402.0
293|2017|TARGA RESOURCES|CO2|Midstream|31609.0
294|2017|TARGA RESOURCES|N2O|Midstream|18.0
295|2018|TARGA RESOURCES|CH4|Midstream|2185.0
296|2018|TARGA RESOURCES|CO2|Midstream|33422.0
297|2018|TARGA RESOURCES|N2O|Midstream|19.0
298|2014|TARGA RESOURCES|CH4|Midstream|2282.0
299|2014|TARGA RESOURCES|CO2|Midstream|14925.0
300|2014|TARGA RESOURCES|N2O|Midstream|9.0
301|2016|TC PIPELINES|CH4|Midstream|7364.0
302|2016|TC PIPELINES|CO2|Midstream|798176.0
303|2016|TC PIPELINES|N2O|Midstream|449.0
304|2017|TC PIPELINES|CH4|Midstream|14763.0
305|2017|TC PIPELINES|CO2|Midstream|859610.0
306|2017|TC PIPELINES|N2O|Midstream|483.0
307|2017|TRUE OIL|CH4|Midstream|541.0
308|2017|TRUE OIL|CO2|Midstream|3733.0
309|2017|TRUE OIL|N2O|Midstream|2.0
310|2018|TRUE OIL|CH4|Midstream|297.0
311|2018|TRUE OIL|CO2|Midstream|4498.0
312|2018|TRUE OIL|N2O|Midstream|2.0
313|2015|TRANSCANADA NORTHERN BORDER|CH4|Midstream|11477.0
314|2015|TRANSCANADA NORTHERN BORDER|CO2|Midstream|742446.0
315|2015|TRANSCANADA NORTHERN BORDER|N2O|Midstream|415.0
316|2012|TRANSCANADA NORTHERN BORDER|CH4|Midstream|17939.0
317|2012|TRANSCANADA NORTHERN BORDER|CO2|Midstream|857273.0
318|2012|TRANSCANADA NORTHERN BORDER|N2O|Midstream|482.0
319|2013|TRANSCANADA NORTHERN BORDER|CH4|Midstream|74510.0
320|2013|TRANSCANADA NORTHERN BORDER|CO2|Midstream|864418.0
321|2013|TRANSCANADA NORTHERN BORDER|N2O|Midstream|487.0
322|2014|TRANSCANADA NORTHERN BORDER|CH4|Midstream|20181.0
323|2014|TRANSCANADA NORTHERN BORDER|CO2|Midstream|664989.0
324|2014|TRANSCANADA NORTHERN BORDER|N2O|Midstream|372.0
325|2011|VERESEN|CH4|Midstream|972.0
326|2011|VERESEN|CO2|Midstream|135306.0
327|2011|VERESEN|N2O|Midstream|76.0
328|2012|VERESEN|CH4|Midstream|707.5
329|2012|VERESEN|CO2|Midstream|132516.5
330|2012|VERESEN|N2O|Midstream|74.5
331|2013|VERESEN|CH4|Midstream|414.5
332|2013|VERESEN|CO2|Midstream|144011.0
333|2013|VERESEN|N2O|Midstream|81.0
334|2014|VERESEN|CH4|Midstream|211.5
335|2014|VERESEN|CO2|Midstream|148926.5
336|2014|VERESEN|N2O|Midstream|84.0
337|2015|VERESEN|CH4|Midstream|359.5
338|2015|VERESEN|CO2|Midstream|144950.5
339|2015|VERESEN|N2O|Midstream|81.0
340|2016|VERESEN|CH4|Midstream|176.0
341|2016|VERESEN|CO2|Midstream|143195.5
342|2016|VERESEN|N2O|Midstream|80.5
