COMPANY,2011,2012,2013,2014,2015,2016,2017,2018
BROOKFIELD INFRASTRUCTURE PTNR,,,,,622422.0,664413.0,606000.0,657612.0
BRUIN E&P OPERATING,,,,,,,751378.0,
BRUIN E&P PARTNERS,,,,,,,,804509.0
BTA,,6552.0,,,,,,
BURNETT OIL CO,58041.0,58259.0,179521.0,23395.0,63265.0,19422.0,16409.0,26684.0
CABOT,1078783.0,1249440.0,530533.0,398368.0,544077.0,465657.0,406924.0,581943.0
CAELUS ENERGY,,,,51615.0,35996.0,28921.0,21952.0,20106.0
CAERUS OIL AND GAS,40520.0,34196.0,64971.0,84742.0,73478.0,81460.0,325054.0,658300.0
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,,,,,,98846.0,92014.0,218715.0
CALIFORNIA RESOURCES,,,,891460.0,950150.0,2432552.0,2191715.0,1959106.0
CALLON PETROLEUM,,,,,,42356.0,90667.0,429432.0
CAMBRIAN MANAGEMENT,8291.0,4258.0,6361.0,,,,,
CANTIUM,,,,,,,64906.0,166815.0
CAPROCK PERMIAN PROCESSING,,,,,,71005.0,206157.0,370697.0
CARBON NATURAL GAS,,,,,,,,235311.0
CARDINAL MIDSTREAM,148482.0,,,,,,,
CARRERA GAS GATHERING,26447.0,18338.0,24749.0,24007.0,22923.0,23133.0,24521.0,23846.0
CARRIZO OIL & GAS,103518.0,208732.0,469560.0,433945.0,523396.0,512643.0,532781.0,895052.0
CASTLETON COMMODITIES INTERNATIONAL,,38916.0,97967.0,171493.0,265051.0,414114.0,323231.0,263242.0
CATAMOUNT ENERGY PARTNERS,,,,,,,28690.0,43062.0
CATARINA MIDSTREAM,,,,,,,,115874.0
CEDAR BAYOU FRACTIONATORS,426180.0,500639.0,486091.0,606146.0,,,,
CELERO ENERGY II,7206.0,5165.0,3296.0,,,,,
CENTENNIAL RESOURCE PRODUCTION,,,,43299.0,25156.0,42319.0,193405.0,386030.0
CENTERPOINT ENERGY RESOURCES,2076453.0,2156012.0,1925277.0,,,,,
CGAS PROPERTIES,,,,,24563.0,,,
CHAPARRAL ENERGY,747118.0,403428.0,284037.0,301207.0,367720.0,332270.0,137815.0,259149.0
CHENIERE ENERGY,62314.0,62003.0,59473.0,173624.0,181518.0,1302963.0,3505691.0,4555262.0
CHESAPEAKE ENERGY,5033750.0,4439068.0,5279464.0,5201344.0,4579780.0,3967745.0,3215242.0,2348445.0
CHEVRON,4180645.0,3415817.0,3062550.0,3206442.0,3142854.0,4512366.0,4014072.0,4111806.0
CHIEF OIL & GAS,21438.0,43381.0,74162.0,116112.0,55198.0,60734.0,128286.0,138139.0
CHISHOLM ENERGY OPERATING,,,,,,,,66846.0
CHROMA OPERATING,1040.0,1043.0,979.0,,,,,
CIMAREX ENERGY,856288.0,1125322.0,1404040.0,1645702.0,1767404.0,1964743.0,1939256.0,2118682.0
CITATION OIL & GAS,,,,,,,,47906.0
CLASSIC HYDROCARBONS,50218.0,,,0.0,,,,
CLAYTON WILLIAMS ENERGY,105240.0,114322.0,117845.0,124119.0,106767.0,81694.0,99291.0,
CMO,,,57851.0,41548.0,45182.0,644.0,438.0,
CMS ENERGY,32248.0,34234.0,55134.0,95291.0,70311.0,69325.0,61529.0,71873.0
CNX RESOURCES,585841.0,446103.0,1243059.0,571083.0,,,,262162.0
COG OPERATING,242593.0,289382.0,286073.0,375722.0,,,,
COGENT MIDSTREAM WESTEX,,,,,,,,228194.0
COLEMAN OIL AND GAS,12286.0,,,,,,,
COLUMBIA PIPELINE GROUP,,,,,710148.0,50064.0,,
COMPASS PRODUCTION PARTNERS,,,,298361.0,202290.0,238521.0,202936.0,122282.0
COMSTOCK RESOURCES,277321.0,256365.0,337844.0,596221.0,351507.0,202055.0,203515.0,135769.0
CONCHO RESOURCES,,,,,1939560.0,2443823.0,1231787.0,1403345.0
CONFLUENCE DJ,,,,,,,,21401.0
CONOCOPHILLIPS,13725695.0,11477010.0,12938759.0,10403863.0,8794702.0,9418947.0,6482284.0,6449133.0
CONSOL ENERGY,,,,15694.0,656749.0,613531.0,1135396.0,216589.0
CONTINENTAL RESOURCES,2192998.0,886860.0,937394.0,1356965.0,1638490.0,1655512.0,1722279.0,2425518.0
CONTURA ENERGY,,,,,,,511633.0,496297.0
COOK INLET ENERGY,29070.0,36032.0,51906.0,55685.0,44903.0,6231.0,41511.0,36815.0
COPANO ENERGY,747083.0,763005.0,,,,,,
COPREX,173591.0,152862.0,112976.0,86504.0,,,,
CORDILLERA ENERGY PARTNERS III,167059.0,,,0.0,,,,
CORE APPALACHIA OPERATING,,,,,,,215588.0,
CORONADO MIDSTREAM,,,437469.0,,83756.0,75048.0,82566.0,56854.0
CORTERRA ENERGY,,,,,,,11608.0,
COSTAR MIDSTREAM,,73376.0,77368.0,,,,,
COSTARMIDSTREAM,,7879.0,7083.0,,,,,
COVEY PARK ENERGY,,,,,111254.0,52494.0,443667.0,634261.0
COX OIL,,,,,,185953.0,189849.0,181872.0
CRESCENT POINT ENERGY US,,110949.0,156850.0,164823.0,185038.0,189139.0,388045.0,570604.0
CRESTONE PEAK RESOURCES,,,,,,273446.0,236120.0,245946.0
CRESTWOOD MIDSTREAM PARTNERS,593852.0,371014.0,492415.0,504200.0,402752.0,896366.0,949332.0,1037173.0
CRIMSON RESOURCE MANAGEMENT,,,,,,40113.0,41895.0,54730.0
CROSS TIMBERS ENERGY,,,64763.0,72487.0,69090.0,68938.0,51607.0,52531.0
CROSSTEX ENERGY SERVICES,831698.0,885175.0,624973.0,1527007.0,,,,
CROWHEART ENERGY,,,,,,,,198175.0
