RANK|STANDARD_COMPANY_NAME|SECTOR|GHG_CONTRIBUTION
123|ENERGY XXI|Upstream|2484580.58
124|ESCAMBIA ASSET CO|Midstream|2438919.7452000002
125|QUESTAR|Upstream|2409774.0
126|ULTRA PETROLEUM ENERGY|Upstream|2399577.0
127|COMSTOCK RESOURCES|Upstream|2360597.0
128|BHP BILLITON|Midstream|2332143.75
129|AUX SABLE|Midstream|2309747.0
130|CONSOL ENERGY|Upstream|2266377.0
131|CIMAREX ENERGY|Midstream|2250079.3100000005
132|TRANSCANADA AMERICAN INVESTMENTS|Midstream|2232208.0
133|THUNDER CREEK GAS SERVICES|Midstream|2228672.0
134|NORTHERN BORDER PIPELINE|Midstream|2199694.0
135|MEMORIAL RESOURCE DEVELOPMENT|Upstream|2171393.0
136|ANTERO RESOURCES|Midstream|2163000.0
137|AKA ENERGY GROUP|Midstream|2153348.0
138|MERIT ENERGY|Midstream|2149030.9678149996
139|FOREST OIL|Upstream|2117904.0
140|MACPHERSON OIL|Upstream|2091660.0
141|TEMPLAR ENERGY|Upstream|2066811.0
142|UNIT|Upstream|2045227.0
143|CEDAR BAYOU FRACTIONATORS|Midstream|2019056.0
144|BREITBURN ENERGY CO|Midstream|2008661.0
145|SEMPRA ENERGY|Midstream|2007069.25
146|ENEERVEST OPERATING|Upstream|2002264.0
147|FOUNDATION ENERGY|Upstream|2000760.0
148|VECTOR PIPELINE|Midstream|1977150.0
149|SCOUT ENERGY MANAGEMENT|Upstream|1973400.0
150|ATLAS ENERGY GROUP|Midstream|1968539.4
151|RANGE RESOURCES|Upstream|1963291.0
152|SLAWSON COMPANIES|Upstream|1945168.0
153|MUSTANG FUEL|Midstream|1941559.0
154|KAISER-FRANCIS OIL|Upstream|1895828.0
155|ACCESS MIDSTREAM PARTNERS|Midstream|1895629.0
156|PARSLEY ENERGY|Upstream|1875446.0
157|SOUTHWESTERN ENERGY|Midstream|1875181.0
158|BONANZA CREEK ENERGY|Upstream|1875137.0
159|DTE ENERGY|Midstream|1835093.6125
160|SEMGAS|Midstream|1828446.0
161|LINN ENERGY|Midstream|1800044.71
162|VERESEN|Midstream|1783356.0
163|TALISMAN ENERGY USA|Upstream|1780464.0
164|VANGUARD NATURAL RESOURCES|Midstream|1763532.0
165|INDIGO MINERALS|Upstream|1760964.0
166|ENERVEST OPERATING|Midstream|1752735.0
167|KODIAK OIL& GAS|Upstream|1730589.0
168|LAREDO PETROLEUM|Upstream|1724793.0
169|QEP RESOURCES|Midstream|1716788.0
170|GALESI GROUP|Upstream|1710051.0
171|MATADOR PRODUCTION|Upstream|1698300.0
172|CRESCENT POINT ENERGY US|Upstream|1695079.0
173|SENTINEL PEAK RESOURCES|Midstream|1667255.0
174|SWIFT ENERGY OPERATING|Upstream|1660595.0
175|ALTA MESA SERVICES|Upstream|1634409.0
176|BLUESTONE NATURAL RESOURCES|Upstream|1622746.0
177|MIDSTATES PETROLEUM COMPANY|Upstream|1621904.0
178|WILLIAMS|Upstream|1591655.0
179|QUESTAR|Midstream|1540260.0
180|JONAH ENERGY HOLDINGS|Upstream|1520454.0
181|MIDCOAST ENERGY|Midstream|1513214.0
182|COPANO ENERGY|Midstream|1510088.0
183|VANGUARD NATURAL RESOURCES|Upstream|1496885.0
184|DENBURY RESOURCES|Midstream|1467412.0
185|TALLGRASS ENERGY|Midstream|1465255.0
186|GULFPORT ENERGY|Upstream|1455968.0
187|JONES ENERGY HOLDINGS|Upstream|1435983.0
188|PERMIAN BASIN|Midstream|1422563.8470842002
189|FLYWHEEL ENERGY|Midstream|1415750.0
190|ANDEAVOR|Midstream|1413382.0
191|FREEPORT-MCMORAN|Upstream|1409070.1213999998
192|UNIT|Midstream|1400628.0
193|TOTAL E&P USA|Upstream|1360964.8399999999
194|W & T OFFSHORE|Upstream|1357019.75
195|WA MONCRIEF JR|Midstream|1343483.0999820204
196|AZURE MIDSTREAM ENERGY|Midstream|1342300.0
197|SUMMIT MIDSTREAM PARTNERS|Midstream|1328863.0
198|ECOELECTRICA|Midstream|1328011.0
199|SOUTHLAND ROYALTY|Upstream|1323752.0
200|TEP ROCKY MOUNTAIN|Upstream|1318558.0
201|NORTEX MIDSTREAM PARTNERS|Midstream|1303852.0
202|EVERGREEN ENTERPRISE HOLDINGS|Midstream|1302855.5
203|DIVERSIFIED GAS & OIL|Upstream|1302604.0
204|GEOSOUTHERN ENERGY|Upstream|1297627.0
205|FLYWHEEL ENERGY|Upstream|1292746.0
206|EAGLECLAW MIDSTREAM SERVICES|Midstream|1285872.0
207|RESOLUTE ENERGY|Upstream|1284913.0
208|LUCID ENERGY DELAWARE|Midstream|1269334.0
209|EFS MIDSTREAM|Midstream|1267341.0
210|SENECA RESOURCES|Upstream|1265933.0
211|HUNT CONSOLIDATED|Upstream|1255138.0
212|CAERUS OIL AND GAS|Upstream|1249954.0
213|STONE ENERGY|Upstream|1242319.0
214|COVEY PARK ENERGY|Upstream|1241676.0
215|EAGLE ROCK ENERGY PARTNERS|Midstream|1220659.8947
216|TESORO|Midstream|1204476.0
217|ALGONQUIN GAS TRANSMISSION|Midstream|1197416.0
218|COG OPERATING|Upstream|1193770.0
219|ENCANA OIL & GAS (USA)|Midstream|1184274.0
220|EQUITRANS MIDSTREAM|Midstream|1161856.0
221|APPROACH RESOURCES|Upstream|1149419.0
222|GREAT LAKES GAS TRANSMISSION|Midstream|1127900.0
223|PANHANDLE EASTERN PIPE LINE|Midstream|1124373.0
224|BLUE RACER MIDSTREAM|Midstream|1118183.0
225|NOBLE ENERGY|Midstream|1092125.08175
226|TEXAS PETROLEUM INVESTMENT|Upstream|1091213.0
227|MDU RESOURCES GROUP|Upstream|1073538.0
228|MURPHY OIL|Midstream|1071273.6860000005
229|SHERIDAN PRODUCTION COMAPNY|Upstream|1064053.0
230|UNIT PETROLEUM|Upstream|1059132.0
231|NORTHERN COLORADO OIL & GAS HOLDINGS|Upstream|1050958.0
232|VALENCE OPERATING|Upstream|1050081.0
233|TECOLOTE ENERGY|Upstream|1037984.0
234|TAPSTONE ENERGY|Upstream|1022403.0
235|TANOS EXPLORATION II|Upstream|1019084.0
236|PLAINS ALL AMERICAN GP|Midstream|1016537.0
237|SENTINEL PEAK RESOURCES|Upstream|1010083.0
238|AMERICAN MIDSTREAM PARTNERS|Midstream|1005463.0
239|CALIFORNIA RESOURCES|Upstream|978078.0
240|LEGACY RESERVES OPERATING|Upstream|976621.0
241|SANCHEZ OIL AND GAS|Upstream|959196.0
242|DUGAN PRODUCTION|Upstream|956389.0
243|FLORIDA GAS TRANSMISSION|Midstream|951998.0
244|TRENDWELL ENERGY|Upstream|943368.0
245|CASTLETON COMMODITIES INTERNATIONAL|Upstream|940995.0
246|SOUTHERN UTE INDIAN TRIBE|Upstream|933046.0
247|NADEL & GUSSMAN|Upstream|931497.0
248|EXTRACTION OIL & GAS|Upstream|927541.0
249|MORGAN STANLEY|Midstream|925807.0
250|FAMCOR OIL|Upstream|920699.0
251|TRIANGLE USA PETROLEUM|Upstream|918105.0
252|ROSETTA RESOURCES OPERATING|Upstream|917027.0
253|LARAMIE ENERGY|Upstream|914908.0
254|LUCID ENERGY WESTEX|Midstream|912102.0
255|JAGGED PEAK ENERGY|Upstream|908098.0
256|COMPASS PRODUCTION PARTNERS|Upstream|900239.0
257|AETHON ENERGY|Upstream|899785.0
258|NFR ENERGY|Upstream|886374.0
259|LOGOS RESOURCES II|Upstream|886144.0
260|HOWARD ENERGY PARTNERS|Midstream|883486.0
261|ALL AMERICAN OIL AND GAS|Upstream|882350.0
262|SN EF MAVERICK|Midstream|877858.0
263|REPSOL OIL & GAS USA|Midstream|875902.0
264|CHESAPEAKE ENERGY|Midstream|874731.0
265|XTO ENERGY|Upstream|873488.0
266|JORDAN DEVELOPMENT CORP|Upstream|855401.0
267|TRANSCANADA/COLUMBIA PIPELINE GROUP|Midstream|852651.0
268|APACHE|Midstream|849596.3436999999
269|PREMIER NATURAL RESOURCES|Upstream|845466.0
270|ENCINO ENERGY|Upstream|843834.0
271|PRUET PRODUCTION|Upstream|836007.0
272|QUANTUM RESOURCES MANAGEMENT|Midstream|829517.9495363001
273|URSA RESOURCES GROUP|Upstream|829500.0
274|REX ENERGY OPERATING|Upstream|820036.0
275|GAS TRANSMISSION SERVICES COMPANY|Midstream|810190.0
276|NAVITAS MIDSTREAM|Midstream|810182.0
277|PENNSYLVANIA GENERAL ENERGY COMPANY|Upstream|804853.0
278|BRUIN E&P PARTNERS|Upstream|804509.0
279|LLOG EXPLORATION OFFSHORE|Upstream|795772.0
280|AMERICAN ENERGY PARTNERS|Upstream|771767.0
281|LIME ROCK RESOURCES|Upstream|768618.0
