REPORTING YEAR|PARENT_COMPANY|GAS|SECTOR|GHG_CONTRIBUTION|2018_UPSTREAM_RANK|2018_MIDSTREAM_RANK|2018_OVERALL_RANK|STANDARD_COMPANY_NAME
2017|HILCORP ENERGY CO|CO2|Midstream|1560012.35585|1.0|29.0|8.0|HILCORP ENERGY
2015|HILCORP ENERGY CO|CO2|Midstream|920783.78686|1.0|29.0|8.0|HILCORP ENERGY
2015|HILCORP ENERGY CO|CH4|Upstream|640199.0|1.0|29.0|8.0|HILCORP ENERGY
2016|HILCORP ENERGY CO|CH4|Upstream|882805.0|1.0|29.0|8.0|HILCORP ENERGY
2016|HILCORP ENERGY CO|CO2|Midstream|1650871.04443|1.0|29.0|8.0|HILCORP ENERGY
2016|HILCORP ENERGY CO|CO2|Upstream|1127130.0|1.0|29.0|8.0|HILCORP ENERGY
2016|HILCORP ENERGY CO|N2O|Midstream|988.55674|1.0|29.0|8.0|HILCORP ENERGY
2016|HILCORP ENERGY CO|N2O|Upstream|857.0|1.0|29.0|8.0|HILCORP ENERGY
2017|HILCORP ENERGY CO|CH4|Midstream|209295.60364|1.0|29.0|8.0|HILCORP ENERGY
2016|HILCORP ENERGY CO|CH4|Midstream|194995.12227|1.0|29.0|8.0|HILCORP ENERGY
2014|EXXONMOBIL CORP|CO2|Midstream|867016.2351999999|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|N2O|Midstream|490.4844|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|N2O|Upstream|35.18600000000001|2.0|5.0|2.0|EXXONMOBIL
2012|EXXONMOBIL CORP|CO2|Midstream|804339.8028000001|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|N2O|Midstream|571.8979939500001|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|CO2|Upstream|80999.5709|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|CO2|Midstream|1055741.4911339201|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|CH4|Upstream|9397.6455|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|CH4|Midstream|25921.887419560004|2.0|5.0|2.0|EXXONMOBIL
2016|EXXONMOBIL CORP|N2O|Upstream|158.3877|2.0|5.0|2.0|EXXONMOBIL
2014|EXXONMOBIL CORP|CO2|Upstream|15049.486|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|CH4|Upstream|9790.143354000002|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|CH4|Upstream|10135.690502000001|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|CO2|Midstream|1051100.13972113|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|CO2|Upstream|84119.278217|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|N2O|Midstream|572.2843939499999|2.0|5.0|2.0|EXXONMOBIL
2017|EXXONMOBIL CORP|N2O|Upstream|83.212267|2.0|5.0|2.0|EXXONMOBIL
2018|EXXONMOBIL CORP|CH4|Midstream|43805.826614000005|2.0|5.0|2.0|EXXONMOBIL
