PARENT_COMPANY|STANDARD_COMPANY_NAME
BLACK HILLS CORPORATION|BLACK HILLS
BLACKBEARD OPERATING LLC|BLACKBEARD OPERATING
BLACKBRUSH O & G LLC|BLACKBRUSH O & G
BLUE RACER MIDSTREAM LLC|BLUE RACER MIDSTREAM
BLUE RACER MIDSTREAM, LLC|BLUE RACER MIDSTREAM
BLUECREST ENERGY INC|BLUECREST ENERGY
BLUESTONE NATURAL RESOURCES LLC|BLUESTONE NATURAL RESOURCES
BOC 220 GULF COAST BASIN ONSHORE|BOC 220 GULF COAST BASIN ONSHORE
BOC 220 Gulf Coast Basin Onshore|BOC 220 GULF COAST BASIN ONSHORE
BONANZA CREEK ENERGY INC|BONANZA CREEK ENERGY
BONANZA CREEK ENERGY, INC|BONANZA CREEK ENERGY
BOPCO LP|BOPCO
BOPCO, LP|BOPCO
BP AMERICA INC|BP AMERICA
BP America Inc|BP AMERICA
BP America Inc.|BP AMERICA
BP America Production Company|BP AMERICA
BP Exploration & Production, Inc.|BP AMERICA
BREITBURN ENERGY CO LP|BREITBURN ENERGY CO
BREITBURN ENERGY PARTNERS LP|BREITBURN ENERGY CO
BRIDGE ENERGY LLC|BRIDGE ENERGY
BROOKFIELD INFRASTRUCTURE PTNR|BROOKFIELD INFRASTRUCTURE PTNR
BRUIN E&P PARTNERS LLC|BRUIN E&P PARTNERS
BTA|BTA
BURLINGTON RESOURCES OIL & GAS CO LP|CONOCOPHILLIPS
BURNETT OIL CO INC|BURNETT OIL CO
Ballard Petroleum Holdings LLC|BALLARD PETROLEUM HOLDINGS
Bayswater Exploration & Production, LLC|BAYSWATER EXPLORATION & PRODUCTION
Baytex Energy USA|BAYTEX ENERGY USA
Beacon West Energy Group|BEACON WEST ENERGY GROUP
Benedum Gas Partners, LP|BENEDUM GAS PARTNERS
Bennu Oil & Gas, LLC|BENNU OIL & GAS
Black Bear Midstream, LLC|BLACK BEAR MIDSTREAM HOLDINGS
Black Elk Energy Offshore Operations, LLC|BLACK ELK ENERGY OFFSHORE OPERATIONS
BlackBrush O & G, LLC|BLACKBRUSH O & G
Blackbeard Operating, LLC|BLACKBEARD OPERATING
BlueCrest Energy|BLUECREST ENERGY
Bluefin Resources LLC|BLUEFIN RESOURCES
Bluestone Natural Resources, LLC|BLUESTONE NATURAL RESOURCES
Bravo Natural Gas|BRAVO NATURAL GAS
Bravo Natural Resources, LLC|BRAVO NATURAL RESOURCES
Brazos Midstream|BRAZOS MIDSTREAM
BreitBurn Energy Partners|BREITBURN ENERGY CO
BreitBurn Energy Partners L.P.|BREITBURN ENERGY CO
Breitburn Energy Partners LP|BREITBURN ENERGY CO
Bruin E&P Operating, LLC|BRUIN E&P OPERATING
Burlington Resources Oil & Gas Co LP|CONOCOPHILLIPS
Burnett Oil Co., Inc.|BURNETT OIL CO
CABOT CORP|CABOT
CABOT OIL & GAS CORP|CABOT
CAELUS ENERGY LLC|CAELUS ENERGY
CAERUS OIL & GAS LLC|CAERUS OIL AND GAS
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC|CAISSE DE DEPOT ET PLACEMENT DU QUEBEC
CALIFORNIA RESOURCES CORP|CALIFORNIA RESOURCES
CALLON PETROLEUM CO|CALLON PETROLEUM
CAMBRIAN MANAGEMENT, LTD|CAMBRIAN MANAGEMENT
CANTIUM LLC|CANTIUM
CAPROCK PERMIAN PROCESSING LLC|CAPROCK PERMIAN PROCESSING
CARBON NATURAL GAS CO|CARBON NATURAL GAS
CARDINAL MIDSTREAM, LLC|CARDINAL MIDSTREAM
CARRERA GAS GATHERING LLC|CARRERA GAS GATHERING
CARRIZO OIL & GAS INC|CARRIZO OIL & GAS
CASTLETON COMMODITIES INTERNATIONAL LLC|CASTLETON COMMODITIES INTERNATIONAL
CATAMOUNT ENERGY PARTNERS LLC|CATAMOUNT ENERGY PARTNERS
CATARINA MIDSTREAM LLC|CATARINA MIDSTREAM
CEDAR BAYOU FRACTIONATORS, LP|CEDAR BAYOU FRACTIONATORS
CELERO ENERGY II LP|CELERO ENERGY II
CENTENNIAL RESOURCE PRODUCTION LLC|CENTENNIAL RESOURCE PRODUCTION
CGAS PROPERTIES LP|CGAS PROPERTIES
CHAPARRAL ENERGY INC|CHAPARRAL ENERGY
CHAPARRAL ENERGY, INC|CHAPARRAL ENERGY
CHENIERE ENERGY INC|CHENIERE ENERGY
CHESAPEAKE ENERGY CORP|CHESAPEAKE ENERGY
CHEVRON CORP|CHEVRON
CHEVRON CORPORATION|CHEVRON
CHIEF OIL & GAS LLC|CHIEF OIL & GAS
CIMAREX ENERGY CO|CIMAREX ENERGY
CITATION OIL & GAS CORP|CITATION OIL & GAS
CLAYTON WILLIAMS ENERGY INC|CLAYTON WILLIAMS ENERGY
CMO INC|CMO
CMO, Inc.|CMO
CMS ENERGY CORP|CMS ENERGY
CNX Gas Company|CNX RESOURCES
CNX Resources CORP|CNX RESOURCES
CNX Resources Corp|CNX RESOURCES
COG OPERATING, LLC|COG OPERATING
COLUMBIA PIPELINE GROUP|COLUMBIA PIPELINE GROUP
COMPASS PRODUCTION PARTNERS LP|COMPASS PRODUCTION PARTNERS
COMPASS PRODUCTION PARTNERS, LP|COMPASS PRODUCTION PARTNERS
COMSTOCK RESOURCES|COMSTOCK RESOURCES
COMSTOCK RESOURCES, INC.|COMSTOCK RESOURCES
CONCHO RESOURCES INC|CONCHO RESOURCES
CONFLUENCE DJ LLC|CONFLUENCE DJ
CONOCO PHILLIPS|CONOCOPHILLIPS
CONOCO PHILLIPS GOLDEN PASS HOLDINGS LLC|CONOCOPHILLIPS
CONOCOPHILLIPS|CONOCOPHILLIPS
CONSOL ENERGY INC|CONSOL ENERGY
CONTINENTAL RESOURCES INC|CONTINENTAL RESOURCES
CONTURA ENERGY|CONTURA ENERGY
COOK INLET ENERGY LLC|COOK INLET ENERGY
COPANO ENERGY, LLC|COPANO ENERGY
COPREX LLC|COPREX
CORONADO MIDSTREAM LLC|CORONADO MIDSTREAM
CORTERRA ENERGY, LLC|CORTERRA ENERGY
