|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD    23-6|SENW    23 151 101|MCK|9132|0|0|0|215|0|0|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2012_06
1|BOLKEN    24-12|NWSW    24 151 101|MCK|9617|340|2632|30|215|226|10|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_06
2|SKEDSVOLD    1|SENE    23 151 101|MCK|8165|272|628|30|344|129|2|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_06
3|SOVIG  25-2|NWNE    25 151 101|MCK|9844|41|0|22|0|132|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_06
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_06
5|SKEDSVOLD    1|SENE    23 151 101|MCK|8165|72|0|30|92|79|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_06
6|ANDERSON 28-33 3H|NWNE    28 155 92 |MTL|22062|-|-|-|8107|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_06
7|ANDERSON 28-33 4TFH|NWNW    28 155 92 |MTL|22063|-|-|-|8227|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_06
8|ARVID ANDERSON 14-11 #4TFH|SESW    14 155 92 |MTL|22317|-|-|-|11317|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_06
9|ROSS 36-1707H|SWSW    17 156 92 |MTL|22354|-|-|-|14837|-|3017|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2012_06
10|EMIL 14-13H-24|SWSW    13 155 92 |MTL|22122|-|-|-|11254|-|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - CONFIDENTIA|2012_06
11|ATHENA 4-36TFH|SWSW    36 155 92 |MTL|22170|-|-|-|8997|-|0|SLAWSON EXPLORATION COMPANY, INC.|ALGER - CONFIDENTIA|2012_06
12|ATHENA 6-36TFH|SWSE    36 155 92 |MTL|22165|-|-|-|8505|-|0|SLAWSON EXPLORATION COMPANY, INC.|ALGER - CONFIDENTIA|2012_06
13|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|1722|1066|20|1555|1030|1030|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
14|ALGER STATE 16-21 1-H|SESW    9  155 92 |MTL|20373|0|0|0|0|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
15|ANDERSON 28-33 2TFH|NWNE    28 155 92 |MTL|22061|12278|29307|14|11056|9612|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
16|ANDERSON 28-33 1-H|NWNW    28 155 92 |MTL|17351|187|678|5|0|2|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
17|ARVID ANDERSON 14-11 1-H|SWSE    14 155 92 |MTL|19198|5297|4900|30|4520|956|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
18|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|148|66|7|411|38|38|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
19|BARSTAD 23-14   #1-H|SWSE    23 156 93 |MTL|20907|8278|5038|30|7882|8948|8254|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
20|BARSTAD 23-14 #2TFH|SWSE    23 156 93 |MTL|20908|2761|2267|13|3556|3577|3304|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
21|BROWN 30-19 #2H|NENW    31 156 93 |MTL|20790|7203|4652|30|7413|13836|10460|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
22|BROWN 30-19 1-H|SWSE    30 156 93 |MTL|18760|7004|4762|27|5888|9744|9270|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
23|BURES 20-29 1H|NWNE    20 155 93 |MTL|19058|13935|5498|30|13876|11891|6660|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
24|BURES 20-29 2H|NWNE    20 155 93 |MTL|20306|4547|1975|11|4680|3686|2518|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
25|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|408|308|10|408|215|215|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
26|CHARLIE SORENSON 17-8   2H|NWNE    20 155 93 |MTL|20305|13691|6479|30|13009|12202|7829|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
27|CHARLIE SORENSON 17-8 1-H|NWNE    20 155 93 |MTL|19788|13566|5394|27|13890|12368|7225|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
28|CLIFFORD BAKKE 26-35 #4H|NWNW    26 155 92 |MTL|21804|494|167|6|428|10|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
29|CLIFFORD BAKKE 26-35 #2H|NENE    26 155 92 |MTL|21358|11266|4108|30|10914|7211|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
30|CLIFFORD BAKKE 26-35 #3H|NENE    26 155 92 |MTL|21359|0|0|0|0|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
31|CLIFFORD BAKKE 26-35 1-H|NENW    26 155 92 |MTL|18896|9971|10243|29|10345|3945|3556|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
32|CVANCARA 20-17 1-H|SESE    20 155 92 |MTL|17355|6618|2859|30|6266|5113|5017|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
33|DOMASKIN 30-31 1-H|NWNE    30 155 92 |MTL|19057|5125|2328|30|4688|5266|5046|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
34|ESTHER HYNEK 10-11 1-H|SWNW    10 155 93 |MTL|18881|3587|2267|30|3299|3598|2825|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
35|HOLM 9-4  2H|SESW    9  155 92 |MTL|20371|0|0|2|215|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
36|HOLM 9-4 1-H|SESW    9  155 92 |MTL|18981|0|67|2|655|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
37|HOSPITAL 31-36 1-H|NESE    31 156 92 |MTL|19532|4976|5270|24|5744|4925|4924|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
38|HYNEK 2 1H|LOT 4   2  155 93 |MTL|16898|102|68|6|217|72|72|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
39|JACK CVANCARA 19-18 1-H|SWSE    19 155 92 |MTL|18628|1733|944|19|2219|1022|1022|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
40|JEROME ANDERSON 15-10 1-H|SWSE    15 155 92 |MTL|18547|3851|2241|25|3435|2232|1625|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
41|LIFFRIG 29-20 1-H|SWSE    29 156 93 |MTL|18371|2738|2276|30|2668|5715|2726|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
42|MANITOU STATE 36 1-H|SESE    36 156 93 |MTL|17018|0|0|30|0|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
43|PANZER 22-23 #1-H|SWSW    22 155 92 |MTL|22007|9837|16376|8|8172|7466|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
44|ROGER SORENSON 8-5 1H|SWSE    8  155 92 |MTL|19070|4947|3252|30|4904|2336|2288|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
45|ROSS-ALGER 6-7 1-H|SESW    31 156 92 |MTL|18784|4873|2490|30|5177|3820|3820|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
46|SCHA 33-34 1-H|SWNW    33 156 92 |MTL|19861|5146|3133|30|5502|4818|4770|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
47|SORENSON 29-32 1-H|NWNE    29 155 92 |MTL|18654|5113|2163|30|5136|3658|3505|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
48|SORENSON 29-32 2-H|SESE    20 155 92 |MTL|19513|1870|2878|11|1718|1253|1252|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
49|STROBECK 27-34 1-H|NWNW    27 155 92 |MTL|17724|29|20|1|0|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
50|VACHAL 3-34 1-H|SESW    3  155 93 |MTL|19764|4731|2835|25|4711|4115|3481|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
51|WRIGHT 4-33 1-H|SESW    4  155 93 |MTL|18744|3288|2257|30|3313|3040|2945|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_06
52|ROSS  10-18H|SWSE    18 156 92 |MTL|18024|2663|2051|30|2677|1602|1025|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
53|ROSS  18-10H|SESE    10 156 92 |MTL|18843|1545|1113|30|1759|1144|898|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
54|ROSS  29-1716H|NWNE    17 156 92 |MTL|19722|2503|1510|30|2542|2347|2040|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
55|ROSS  4-05H|SESE    5  156 92 |MTL|17526|1610|1287|30|1922|1225|973|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
56|ROSS 100-09H|SWSW    9  156 92 |MTL|18444|1462|959|30|1750|1063|816|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
57|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|1006|718|30|1087|684|411|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
58|ROSS 11-27H|SESE    27 156 92 |MTL|18062|1681|576|30|2100|930|674|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
59|ROSS 12-06H|SESE    6  156 92 |MTL|18118|1281|872|30|1313|865|634|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
60|ROSS 13-15H|SESE    15 156 92 |MTL|18819|1649|964|30|1821|1500|1122|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
61|ROSS 15-28H|SESE    28 156 92 |MTL|18763|3236|1163|30|2975|2839|2418|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
62|ROSS 20-16H|NWNW    16 156 92 |MTL|16587|1534|760|30|1392|1030|749|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
63|ROSS 21-04H|LOT1    4  156 92 |MTL|18310|1184|955|30|1124|953|648|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
64|ROSS 22-07H|SESE    7  156 92 |MTL|19358|2043|1112|30|2371|2077|1863|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
65|ROSS 27-2728H|SESW    27 156 92 |MTL|19560|3445|1017|30|3656|3550|2867|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
66|ROSS 28-1615H|NWNE    16 156 92 |MTL|20295|2587|1180|30|2698|1856|1639|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
67|ROSS 30-0915H|NWNE    9  156 92 |MTL|20296|4911|3093|30|5036|3486|3144|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
68|ROSS 3-04H|LOT3    4  156 92 |MTL|17795|1137|866|30|1178|750|553|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
69|ROSS 31-0806H|SESW    8  156 92 |MTL|19679|5017|2574|30|4574|4639|4276|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
70|ROSS 32-1707H|SESW    17 156 92 |MTL|19767|2693|4798|22|2142|1965|1602|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
71|ROSS 33-0434H|SESW    4  156 92 |MTL|19793|4914|3186|30|4709|3746|3111|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
72|ROSS 34-0533H|SESW    5  156 92 |MTL|19794|3508|2039|30|3653|2953|1872|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
73|ROSS 35-0331H|SESE    3  156 92 |MTL|19854|6008|4321|30|6696|3971|3759|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
74|ROSS 5-08H|SWSE    8  156 92 |MTL|17531|1632|973|30|1457|1130|874|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
75|ROSS 7-17H|NWNW    17 156 92 |MTL|16586|1318|1054|30|1325|1063|852|EOG RESOURCES, INC.|ALGER - BAKKE|2012_06
76|ANDERSON      11-13H|NWNW    13 155 92 |MTL|18647|2059|733|30|1951|1364|1364|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2012_06
77|BAKKE  11-24H|NWNW    24 155 92 |MTL|17359|0|0|0|0|0|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2012_06
78|CLIFFORD     14-24H-25|SWSW    24 155 92 |MTL|20514|6994|1000|30|6555|7666|7666|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2012_06
79|EN-ABRAHAMSON-155-93- 3019H-1|SWSE    30 155 93 |MTL|18838|5653|4190|29|5698|6632|6468|HESS CORPORATION|ALGER - BAKKE|2012_06
80|EN-ABRAHAMSON-155-93- 3019H-2|SWSE    30 155 93 |MTL|18839|5400|2318|29|5522|5736|5580|HESS CORPORATION|ALGER - BAKKE|2012_06
81|EN-ABRAHAMSON-155-93- 3019H-3|SWSE    30 155 93 |MTL|18840|5678|2618|29|5793|5710|5545|HESS CORPORATION|ALGER - BAKKE|2012_06
82|EN-CVANCARA-155-93- 1522H-1|NENW    15 155 93 |MTL|17389|979|227|29|989|1178|1139|HESS CORPORATION|ALGER - BAKKE|2012_06
83|EN-DOBROVOLNY-155-93- 2128H-1|NWNE    21 155 93 |MTL|18405|824|425|29|832|921|888|HESS CORPORATION|ALGER - BAKKE|2012_06
84|EN-HYNEK-155-93- 0112H-1|NENW    1  155 93 |MTL|17378|934|821|29|932|1509|1509|HESS CORPORATION|ALGER - BAKKE|2012_06
85|EN-HYNEK-155-93- 0112H-2|LOT2    1  155 93 |MTL|20940|5605|2668|30|5614|4429|4429|HESS CORPORATION|ALGER - BAKKE|2012_06
86|EN-HYNEK-155-93- 0112H-3|LOT2    1  155 93 |MTL|20941|6821|3267|30|6723|6195|6195|HESS CORPORATION|ALGER - BAKKE|2012_06
87|EN-MEIERS A-156-93- 13H-1|LOT1    18 156 92 |MTL|20696|3685|3262|30|3681|2869|0|HESS CORPORATION|ALGER - BAKKE|2012_06
88|EN-REHAK-155-93- 0718H-1|NENW    7  155 93 |MTL|18674|4913|825|29|4978|5915|5718|HESS CORPORATION|ALGER - BAKKE|2012_06
89|EN-RIERSGARD-156-93- 1718H-1|NWSW    16 156 93 |MTL|21129|11497|4950|28|11492|8577|8305|HESS CORPORATION|ALGER - BAKKE|2012_06
90|EN-RIERSGARD-156-93- 1718H-2|NWSW    16 156 93 |MTL|21131|10643|4516|27|10708|9735|9418|HESS CORPORATION|ALGER - BAKKE|2012_06
91|EN-RIERSGARD-156-93- 1718H-3|NWSW    16 156 93 |MTL|21133|8073|6651|26|8139|6859|6638|HESS CORPORATION|ALGER - BAKKE|2012_06
92|EN-SKABO TRUST-155-93- 0631H-1|SWSE    6  155 93 |MTL|18677|66|98|3|106|112|109|HESS CORPORATION|ALGER - BAKKE|2012_06
93|EN-STATE B-155-93- 1609H-1|SESE    16 155 93 |MTL|18229|1614|566|29|1627|1475|1410|HESS CORPORATION|ALGER - BAKKE|2012_06
94|EN-STATE C-156-93- 1615H-1|NWSW    16 156 93 |MTL|21130|9088|5473|28|9030|5678|5519|HESS CORPORATION|ALGER - BAKKE|2012_06
95|EN-STATE C-156-93- 1615H-2|NWSW    16 156 93 |MTL|21132|5751|5222|25|5766|4044|3928|HESS CORPORATION|ALGER - BAKKE|2012_06
96|EN-STATE C-156-93- 1615H-3|NWSW    16 156 93 |MTL|21134|6246|5182|24|6266|4556|4425|HESS CORPORATION|ALGER - BAKKE|2012_06
97|EN-VACHAL-155-93- 0532H-1|SWSE    5  155 93 |MTL|19351|6686|2437|28|6725|7251|6983|HESS CORPORATION|ALGER - BAKKE|2012_06
98|EN-VACHAL-155-93- 0532H-2|SWSE    5  155 93 |MTL|19352|6540|2539|28|6660|7855|7593|HESS CORPORATION|ALGER - BAKKE|2012_06
99|RS-ANDERSON-156-92- 3229H-1|SESE    32 156 92 |MTL|17664|1565|458|30|1530|1746|1746|HESS CORPORATION|ALGER - BAKKE|2012_06
100|RS-STATE D-155-92- 0203H-1|SESE    2  155 92 |MTL|17792|907|381|30|922|690|690|HESS CORPORATION|ALGER - BAKKE|2012_06
101|RS-THOMPSON-155-92- 0112H-1|LOT 4   1  155 92 |MTL|17572|1530|11|30|1557|1043|1043|HESS CORPORATION|ALGER - BAKKE|2012_06
102|CASPIAN 5693 43-11H|SWSE    11 156 93 |MTL|21048|7140|4756|30|7177|4266|4266|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2012_06
103|EVANS FEDERAL 5693 42-27H|SESW    27 156 93 |MTL|19036|4354|2964|30|4471|5595|5595|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2012_06
104|HERON 5693 43-12H|SWSE    12 156 93 |MTL|21110|4931|3020|30|4867|2882|2492|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2012_06
105|HYNEK 5693 42-35H|SESW    35 156 93 |MTL|18466|1940|1273|30|1801|1908|1908|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2012_06
106|MALLARD 5692 21-20H|SWNW    20 156 92 |MTL|20202|7602|3672|30|7493|3872|3872|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2012_06
107|MELL 44-21H|SESE    21 156 93 |MTL|17477|1101|618|29|1066|587|587|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2012_06
