|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW    23 151 101|MCK|9132|765|15|31|652|802|622|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2009_08
1|BOLKEN   24-12|NWSW    24 151 101|MCK|9617|584|2536|31|225|616|393|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_08
2|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|249|1004|31|353|372|240|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_08
3|SOVIG  25-2|NWNE    25 151 101|MCK|9844|89|322|29|0|174|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_08
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|379|399|31|446|3518|3394|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2009_08
5|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|67|0|31|94|145|64|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2009_08
6|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|-|-|-|8181|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2009_08
7|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|4094|2064|31|4196|4425|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_08
8|ANDERSON 28-33 1-H|NWNW    28 155 92 |MTL|17351|28106|6214|25|26224|14975|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_08
9|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|1295|534|31|1515|2170|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_08
10|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|2567|1228|27|2654|3500|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_08
11|HYNEK 2 1H|LOT 4   2  155 93 |MTL|16898|860|650|31|1035|930|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_08
12|MANITOU STATE 36 #1-H|SESE    36 156 93 |MTL|17018|1049|957|28|1301|1480|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_08
13|STROBECK 27-34 1-H|NWNW    27 155 92 |MTL|17724|12569|11184|31|12489|15476|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_08
14|ROSS  4-05H|SESE    5  156 92 |MTL|17526|8874|16424|26|8549|5803|0|EOG RESOURCES, INC.|ALGER - BAKKE|2009_08
15|ROSS 7-17H|NW NW 17 156 92   |MTL|16586|5328|3280|31|5499|5061|0|EOG RESOURCES, INC.|ALGER - BAKKE|2009_08
16|BAKKE  11-24H|NWNW    24 155 92 |MTL|17359|6021|1210|31|6294|8429|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2009_08
17|EN-CVANCARA-155-93- 1522H-1|NENW    15 155 93 |MTL|17389|2665|558|30|2528|2818|0|HESS CORPORATION|ALGER - BAKKE|2009_08
18|EN-HYNEK-155-93- 0112H-1|NENW    1  155 93 |MTL|17378|3933|1481|31|3752|4641|0|HESS CORPORATION|ALGER - BAKKE|2009_08
19|RS-ANDERSON-156-92- 3229H-1|SESE    32 156 92 |MTL|17664|4857|832|31|4835|3799|3799|HESS CORPORATION|ALGER - BAKKE|2009_08
20|RS-STATE D-155-92- 0203H-1|SESE    2  155 92 |MTL|17792|3577|1145|31|3661|2166|2166|HESS CORPORATION|ALGER - BAKKE|2009_08
21|RS-THOMPSON-155-92- 0112H-1|LOT 4   1  155 92 |MTL|17572|5722|994|31|5827|2942|2942|HESS CORPORATION|ALGER - BAKKE|2009_08
22|MELL 44-21H|SESE    21 156 93 |MTL|17477|1026|763|22|1263|1259|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2009_08
23|EN-LABAR-154-94 0310H-1|NWNW    3  154 94 |MTL|17561|1919|293|31|1894|2592|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2009_08
24|EN-MOE-154-94- 0508H-1|LOT 1   5  154 94 |MTL|17077|1334|351|31|1317|2904|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2009_08
25|EN-PEDERSON-154-94- 0409H-1|LOT 1   4  154 94 |MTL|17099|2512|601|31|2480|5114|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2009_08
26|SARA G. BARSTAD 6-44H|SWSW    6  154 94 |MTL|15889|457|1502|31|417|665|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2009_08
27|NELSON  14-33H|SWSW    33 155 94 |MTL|16552|145|65|3|0|61|0|MARATHON OIL COMPANY|ALKALI CREEK - BAKKE|2009_08
28|HOVE 11X-35|NWNW    35 155 95 |WIL|15757|277|168|31|229|714|342|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2009_08
29|MARMON HAHN TRUST 11X-11|NWNW    11 154 95 |WIL|16315|2100|342|31|2057|3418|3418|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2009_08
30|MOE STATE 31X-36|NWNE    36 155 95 |WIL|17869|4886|2430|31|4919|5434|2992|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2009_08
31|HANSON 30-163-98H|LOT 4   30 163 98 |DIV|16549|1116|196|31|1117|1431|1134|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_08
32|HAUGLAND 31-163-98H|NWNW    31 163 98 |DIV|16562|1216|476|31|1117|1692|1395|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_08
33|LARSON  11-162-99H|NWNW    11 162 99 |DIV|16794|1365|1148|31|1204|1071|0|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_08
34|LOKKEN 35-163-99H|NENE    35 163 99 |DIV|17226|1735|4043|31|1794|1610|0|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_08
35|LYSTAD 26-163-99H|SESE    26 163 99 |DIV|17183|2880|3169|31|2753|6538|0|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_08
36|STROM 25-36-163-99H|SESE    25 163 99 |DIV|16124|1507|328|31|1343|1662|1365|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_08
37|THOMPSON       44-16H|SESE    16 163 99 |DIV|14888|332|2|31|414|1457|0|ABRAXAS PETROLEUM CORP.|AMBROSE - DUPERO|2009_08
38|BUBLITZ   34-22-2|SWSE    22 163 99 |DIV|11438|205|0|31|224|910|879|DAVID H. ARRINGTON OIL & GAS, INC.|AMBROSE - DUPERO|2009_08
39|BUBLITZ   42-22-1|SENE    22 163 99 |DIV|11201|65|0|31|0|213|182|DAVID H. ARRINGTON OIL & GAS, INC.|AMBROSE - DUPERO|2009_08
40|STATE-HENNING       32-14-1|SWNE    14 163 99 |DIV|10298|377|2238|31|204|567|164|WHITING OIL AND GAS CORPORATION|AMBROSE - DUPERO|2009_08
41|TORGESON       34-15-1|SWSE    15 163 99 |DIV|10301|112|0|31|0|341|0|WHITING OIL AND GAS CORPORATION|AMBROSE - DUPERO|2009_08
42|AMOR - RED RIVER N UNIT TOTAL : 1 well||||1861|5017|31|1709|96|49|LUFF EXPLORATION COMPANY|AMOR - RED RIVE|2009_08
43|AMOR - RED RIVER S UNIT TOTAL : 6 wells||||8080|10830|155|7647|243|8|LUFF EXPLORATION COMPANY|AMOR - RED RIVE|2009_08
44|GROSS     1-8|SESE    8  130 103|BO|6639|231|1384|9|226|408|0|LUFF EXPLORATION COMPANY|AMOR - RED RIVER|2009_08
45|WERRE B-17H|NWNE    17 129 103|BO|16426|470|8648|31|440|653|0|LUFF EXPLORATION COMPANY|AMOR - RED RIVER|2009_08
46|ROLLEFSTAD     1-3H|NWNW    3  152 94 |MCK|18159|-|-|-|2063|-|0|CONTINENTAL RESOURCES, INC.|ANTELOPE - CONFIDENTIA|2009_08
47|ANTELOPE - DEVONIAN UNIT    TOTAL : 4 wells||||2615|7462|94|2468|2661|2661|HESS CORPORATION|ANTELOPE - DEVONIA|2009_08
48|ANTELOPE - MADISON UNIT     TOTAL : 7 wells||||3074|23988|148|3100|46178|46178|HESS CORPORATION|ANTELOPE - MADISO|2009_08
49|MCKEEN     30-23|NESW    30 153 94 |MCK|12589|722|165|31|625|7711|7711|HESS CORPORATION|ANTELOPE - RED RIVE|2009_08
50|FOX   1|SWNW    34 152 94 |MCK|12198|550|48|31|718|489|489|CONTINENTAL RESOURCES, INC.|ANTELOPE - SANIS|2009_08
51|GUDBRANSON       1|NWSE    34 152 94 |MCK|12979|491|15|31|244|0|0|CONTINENTAL RESOURCES, INC.|ANTELOPE - SANIS|2009_08
52|ROSE    1|SENE    33 152 94 |MCK|12019|205|3|31|225|0|0|CONTINENTAL RESOURCES, INC.|ANTELOPE - SANIS|2009_08
53|WOLF FEDERAL       1|SESW    34 152 94 |MCK|12643|503|15|31|236|433|433|CONTINENTAL RESOURCES, INC.|ANTELOPE - SANIS|2009_08
54|DRAGS WOLF     1|NWSW    27 152 94 |MCK|4168|350|0|30|218|NR|NR|DAKOTA-3, LLC|ANTELOPE - SANIS|2009_08
55|AN-EVENSON-152-95- 0310H-1|LOT 2   3  152 95 |MCK|17214|3104|850|31|3164|6514|6514|HESS CORPORATION|ANTELOPE - SANIS|2009_08
56|AN-NORBY-152-94- 0409H-1|LOT 1   4  152 94 |MCK|17609|7309|50|31|7204|11348|11348|HESS CORPORATION|ANTELOPE - SANIS|2009_08
57|BRENNA-LACEY UNIT       1|LT2     1  152 95 |MCK|1350|1291|535|26|1197|6308|6308|HESS CORPORATION|ANTELOPE - SANIS|2009_08
58|MYRMIDON 1-2H|LOT 1   2  151 94 |MCK|17008|713|97|31|709|808|0|MARATHON OIL COMPANY|ANTELOPE - SANIS|2009_08
59|MELBY     42-8|SENE    8  152 94 |MCK|8908|42|30|17|0|17|0|PHILLIP D. ARMSTRONG|ANTELOPE - SANIS|2009_08
