|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW  23 151 101|MCK|9132|953|23|29|884|735|735|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2011_07
1|BOLKEN   24-12|NWSW  24 151 101|MCK|9617|330|2350|31|215|290|290|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_07
2|SKEDSVOLD     1|SENE  23 151 101|MCK|8165|9|353|31|0|5|5|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_07
3|SOVIG  25-2|NWNE  25 151 101|MCK|9844|18|60|9|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_07
4|HANSEN 2-23|W2SE  23 151 101|MCK|15670|10|0|1|0|4|4|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2011_07
5|SKEDSVOLD     1|SENE  23 151 101|MCK|8165|2|0|31|0|1|1|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2011_07
6|ROSS 32-1707H|SESW  17 156 92 |MTL|19767|-|-|-|8560|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_07
7|ROSS 33-0434H|SESW  4  156 92 |MTL|19793|-|-|-|9611|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_07
8|ROSS 34-0533H|SESW  5  156 92 |MTL|19794|-|-|-|10516|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_07
9|ADIX 25 1-H|NWNW  25 155 92 |MTL|17481|2616|1205|31|2638|2001|2001|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
10|ANDERSON 28-33 1-H|NWNW  28 155 92 |MTL|17351|5289|1991|31|5145|3494|3494|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
11|ARVID ANDERSON 14-11 1-H|SWSE  14 155 92 |MTL|19198|10775|5315|31|10555|4005|2097|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
12|BAKKE 23 1-H|NWNW  23 155 92 |MTL|16893|817|272|14|559|234|234|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
13|BROWN 30-19 1-H|SWSE  30 156 93 |MTL|18760|6618|3711|16|6528|6626|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
14|CARKUFF 22 1-H|SESE  22 155 92 |MTL|17165|932|347|27|1158|595|595|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
15|CLIFFORD BAKKE 26-35 1-H|NENW  26 155 92 |MTL|18896|14943|4109|30|13609|6162|5317|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
16|CVANCARA 20-17 1-H|SESE  20 155 92 |MTL|17355|10747|4222|23|11183|8716|922|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
17|DOMASKIN 30-31 1-H|NWNE  30 155 92 |MTL|19057|10173|3730|31|9200|9592|9592|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
18|ESTHER HYNEK 10-11 1-H|SWNW  10 155 93 |MTL|18881|6712|4577|25|6627|6804|198|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
19|HOSPITAL 31-36 1-H|NESE  31 156 92 |MTL|19532|4717|3462|27|5624|2730|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
20|HYNEK 2 1H|LOT 4 2  155 93 |MTL|16898|540|309|31|555|275|275|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
21|JACK CVANCARA 19-18 1-H|SWSE  19 155 92 |MTL|18628|6877|3162|28|8331|6541|6541|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
22|JEROME ANDERSON 15-10 1-H|SWSE  15 155 92 |MTL|18547|5124|2342|31|5224|1650|1650|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
23|LIFFRIG 29-20 1-H|SWSE  29 156 93 |MTL|18371|1724|1412|31|2500|1101|1101|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
24|MANITOU STATE 36 1-H|SESE  36 156 93 |MTL|17018|2551|2889|30|2474|1831|1831|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
25|ROGER SORENSON 8-5 1H|SWSE  8  155 92 |MTL|19070|7481|4492|30|6929|4663|4403|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
26|ROSS-ALGER 6-7 1-H|SESW  31 156 92 |MTL|18784|12875|6030|31|14109|12973|12973|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
27|SCHA 33-34 1-H|SWNW  33 156 92 |MTL|19861|19334|18995|31|20112|14646|7286|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
28|SORENSON 29-32 1-H|NWNE  29 155 92 |MTL|18654|6296|2125|27|6267|4203|4203|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
29|SORENSON 29-32 2-H|SESE  20 155 92 |MTL|19513|10091|3948|30|11276|8571|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
30|STROBECK 27-34 1-H|NWNW  27 155 92 |MTL|17724|4250|2591|31|4427|3591|3591|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
31|VACHAL 3-34 1-H|SESW  3  155 93 |MTL|19764|9343|5045|31|10738|8334|245|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
32|WRIGHT 4-33 1-H|SESW  4  155 93 |MTL|18744|5766|3841|31|5810|6446|6191|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_07
33|ROSS  10-18H|SWSE  18 156 92 |MTL|18024|28|17|1|0|21|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
34|ROSS  18-10H|SESE  10 156 92 |MTL|18843|2132|1606|30|2552|1234|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
35|ROSS  29-1716H|NWNE  17 156 92 |MTL|19722|6467|3535|31|6467|5334|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
36|ROSS  4-05H|SESE  5  156 92 |MTL|17526|2350|1845|31|2801|1723|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
37|ROSS 100-09H|SWSW  9  156 92 |MTL|18444|1722|1141|29|1885|1080|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
38|ROSS 1-09H|SWSE  9  156 92 |MTL|17950|2017|1250|30|1996|1649|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
39|ROSS 11-27H|SESE  27 156 92 |MTL|18062|2424|915|31|2551|1456|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
40|ROSS 12-06H|SESE  6  156 92 |MTL|18118|1644|996|31|1885|1206|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
41|ROSS 13-15H|SESE  15 156 92 |MTL|18819|2197|1359|26|2147|1561|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
42|ROSS 15-28H|SESE  28 156 92 |MTL|18763|4012|1170|31|4058|3309|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
43|ROSS 20-16H|NWNW  16 156 92 |MTL|16587|648|148|3|931|518|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
44|ROSS 21-04H|LOT1  4  156 92 |MTL|18310|1742|1413|31|2147|1240|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
45|ROSS 22-07H|SESE  7  156 92 |MTL|19358|5015|2525|31|4847|3375|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
46|ROSS 27-2728H|SESW  27 156 92 |MTL|19560|5221|1362|14|5527|4089|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
47|ROSS 3-04H|LOT3  4  156 92 |MTL|17795|1342|980|31|1666|999|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
48|ROSS 31-0806H|SESW  8  156 92 |MTL|19679|11503|7066|25|11768|9330|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
49|ROSS 5-08H|SWSE  8  156 92 |MTL|17531|3565|2858|31|3680|2496|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
50|ROSS 7-17H|NWNW  17 156 92 |MTL|16586|1733|1302|31|1682|1264|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_07
51|ANDERSON      11-13H|NWNW    13 155 92 |MTL|18647|5908|1831|31|5653|2460|2139|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2011_07
52|BAKKE  11-24H|NWNW    24 155 92 |MTL|17359|1707|373|31|1427|661|100|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2011_07
53|EN-ABRAHAMSON-155-93- 3019H-1|SWSE    30 155 93 |MTL|18838|2757|330|15|2730|1956|1502|HESS CORPORATION|ALGER - BAKKE|2011_07
54|EN-ABRAHAMSON-155-93- 3019H-2|SWSE    30 155 93 |MTL|18839|705|82|9|723|1031|915|HESS CORPORATION|ALGER - BAKKE|2011_07
55|EN-ABRAHAMSON-155-93- 3019H-3|SWSE    30 155 93 |MTL|18840|1406|533|15|1455|2436|2205|HESS CORPORATION|ALGER - BAKKE|2011_07
56|EN-CVANCARA-155-93- 1522H-1|NENW    15 155 93 |MTL|17389|1384|147|30|1421|1243|1232|HESS CORPORATION|ALGER - BAKKE|2011_07
57|EN-DOBROVOLNY-155-93- 2128H-1|NWNE    21 155 93 |MTL|18405|1412|304|31|1448|1280|1269|HESS CORPORATION|ALGER - BAKKE|2011_07
58|EN-HYNEK-155-93- 0112H-1|NENW    1  155 93 |MTL|17378|1059|340|31|1095|1195|1195|HESS CORPORATION|ALGER - BAKKE|2011_07
59|EN-REHAK-155-93- 0718H-1|NENW    7  155 93 |MTL|18674|1963|333|11|1941|2025|2009|HESS CORPORATION|ALGER - BAKKE|2011_07
60|EN-SKABO TRUST-155-93- 0631H-1|SWSE    6  155 93 |MTL|18677|3040|784|29|3114|3061|3037|HESS CORPORATION|ALGER - BAKKE|2011_07
61|EN-STATE B-155-93- 1609H-1|SESE    16 155 93 |MTL|18229|2381|326|31|2440|1261|1242|HESS CORPORATION|ALGER - BAKKE|2011_07
62|RS-ANDERSON-156-92- 3229H-1|SESE    32 156 92 |MTL|17664|1712|224|31|1612|1540|1540|HESS CORPORATION|ALGER - BAKKE|2011_07
63|RS-STATE D-155-92- 0203H-1|SESE    2  155 92 |MTL|17792|1286|271|31|1285|1146|1146|HESS CORPORATION|ALGER - BAKKE|2011_07
64|RS-THOMPSON-155-92- 0112H-1|LOT 4   1  155 92 |MTL|17572|1861|55|31|1865|1532|1532|HESS CORPORATION|ALGER - BAKKE|2011_07
65|EVANS  5693 42-27H|SESW    27 156 93 |MTL|19036|5162|2671|30|5518|3107|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2011_07
66|HYNEK 5693 42-35H|SESW    35 156 93 |MTL|18466|3045|1969|30|3425|2308|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2011_07
67|MELL 44-21H|SESE    21 156 93 |MTL|17477|889|285|31|903|481|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2011_07
68|MERRITT 5693 11-24H|NWNW    24 156 93 |MTL|19097|9839|3964|31|10048|10232|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2011_07
69|CVANCARA 11-14H|NWNW    14 155 93 |MTL|18566|5440|1777|27|6703|3287|0|WHITING OIL AND GAS CORPORATION|ALGER - BAKKE|2011_07
70|REHAK 1-25H|NENW    25 155 94 |MTL|19402|12896|6998|31|12862|13861|0|CONTINENTAL RESOURCES, INC.|ALKALI CREEK - BAKKE|2011_07
71|VACHAL 1-27H|NENW    27 154 94 |MTL|19403|11836|2694|31|11679|0|0|CONTINENTAL RESOURCES, INC.|ALKALI CREEK - BAKKE|2011_07
72|EN-LABAR-154-94 0310H-1|NWNW    3  154 94 |MTL|17561|899|104|31|931|1391|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2011_07
73|EN-MOE-154-94- 0508H-1|LOT 1   5  154 94 |MTL|17077|880|279|31|905|2529|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2011_07
74|EN-PEDERSON-154-94- 0409H-1|LOT 1   4  154 94 |MTL|17099|488|64|22|589|707|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2011_07
75|NELSON  14-33H|SWSW    33 155 94 |MTL|16552|265|236|31|402|487|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2011_07
76|SARA G. BARSTAD 6-44H|SWSW    6  154 94 |MTL|15889|215|482|31|211|429|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2011_07
77|EMMA 31X-30|NWNE    30 155 94 |MTL|18501|3545|2300|31|3691|2375|1879|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2011_07
78|HOVE 11X-35|NWNW    35 155 95 |WIL|15757|121|1542|10|0|338|208|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2011_07
79|KRIEGER  42X-17|SENE    17 154 94 |MTL|18169|1702|615|31|1826|3066|2911|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2011_07
80|MADISYN STATE 44X-1|SESE    1  154 95 |WIL|19339|2623|1210|17|2126|3392|3307|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2011_07
81|MARMON 41X-12|NENE    12 154 95 |WIL|18143|2137|670|31|2204|3737|3737|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2011_07
