|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|AMBER ELIZABETH 36-25H|SESW   36 151 101|MCK|23615|1545|1680|20|1672|3616|3616|MUREX PETROLEUM CORPORATION|ALEXANDER - BAKKE|2013_08
1|BILL 14-23 2TFH|SWSW   11 151 101|MCK|22021|2653|6584|28|3034|1866|1569|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_08
2|BILL 14-23 1H|SWSW   11 151 101|MCK|22023|3737|4785|31|3734|3022|2690|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_08
3|PORTER  35-26 #1TFH|SESW   35 151 101|MCK|23319|4220|8321|28|4192|4510|3393|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_08
4|PORTER  35-26 #2H|SESW   35 151 101|MCK|23320|4430|3452|31|4507|4266|4001|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_08
5|TIMBER CREEK 13-24 1TFH|NENW   13 151 101|MCK|23302|12152|17173|31|11523|14312|5805|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_08
6|SKEDSVOLD     23-6|SENW   23 151 101|MCK|9132|537|22|31|445|179|0|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2013_08
7|BOLKEN   24-12|NWSW   24 151 101|MCK|9617|214|2877|30|214|216|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2013_08
8|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2013_08
9|SOVIG  25-2|NWNE   25 151 101|MCK|9844|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2013_08
10|HANSEN 2-23|W2SE   23 151 101|MCK|15670|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2013_08
11|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2013_08
12|ALEXANDRIA 1-26-35H|NENW   26 161 100|DIV|25096|-|-|-|3936|-|0|HUNT OIL COMPANY|ALEXANDRIA - CONFIDENTIA|2013_08
13|ALEXANDRIA    1-33-28HTF|LOT3   1  160 101|DIV|23323|2321|4148|31|2254|1102|0|HUNT OIL COMPANY|ALEXANDRIA - BAKKE|2013_08
14|TOMLINSON 3-1HS|LOT3   1  161 100|DIV|21888|3169|5517|31|3019|3215|0|SM ENERGY COMPANY|ALEXANDRIA - BAKKE|2013_08
15|ERVIN 5693 11-24T|NWNW   24 156 93 |MTL|23766|-|-|-|10073|-|6443|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2013_08
16|KNAEBEL  5693 41-11T|SWSW   11 156 93 |MTL|24415|-|-|-|15859|-|4658|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2013_08
17|LENI 5693 42-11B|SESW   11 156 93 |MTL|24952|-|-|-|16182|-|12482|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2013_08
18|REYNOLDS 5693 42-11T|SESW   11 156 93 |MTL|24951|-|-|-|9063|-|8395|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2013_08
19|ROSS  10-18H|SWSE   18 156 92 |MTL|18024|1205|580|31|1180|777|603|EOG RESOURCES, INC.|ALGER - BAKKE|2013_08
20|ROSS  18-10H|SESE   10 156 92 |MTL|18843|898|644|31|831|458|299|EOG RESOURCES, INC.|ALGER - BAKKE|2013_08
21|ROSS  29-1716H|NWNE   17 156 92 |MTL|19722|1976|1433|31|2133|1845|1636|EOG RESOURCES, INC.|ALGER - BAKKE|2013_08
22|ROSS  4-05H|SESE   5  156 92 |MTL|17526|1249|1028|31|1275|1075|905|EOG RESOURCES, INC.|ALGER - BAKKE|2013_08
23|ROSS 100-09H|SWSW   9  156 92 |MTL|18444|930|627|31|827|719|539|EOG RESOURCES, INC.|ALGER - BAKKE|2013_08
24|ROSS 1-09H|SWSE   9  156 92 |MTL|17950|898|0|31|867|692|477|EOG RESOURCES, INC.|ALGER - BAKKE|2013_08
25|ROSS 11-27H|SESE   27 156 92 |MTL|18062|1335|553|31|1451|1653|1411|EOG RESOURCES, INC.|ALGER - BAKKE|2013_08
