|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW   23 151 101|MCK|9132|905|60|30|907|914|740|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2011_11
1|BOLKEN    24-12|NWSW   24 151 101|MCK|9617|365|2824|30|669|533|317|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_11
2|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|326|623|30|345|176|49|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_11
3|SOVIG  25-2|NWNE   25 151 101|MCK|9844|126|427|30|237|180|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_11
4|HANSEN 2-23|W2SE   23 151 101|MCK|15670|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2011_11
5|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|87|0|30|92|92|13|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2011_11
6|BROWN 30-19 #2H|NENW   31 156 93 |MTL|20790|-|-|-|15745|-|11200|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2011_11
7|ROSS 28-1615H|NWNE   16 156 92 |MTL|20295|-|-|-|5508|-|3252|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_11
8|ROSS 30-0915H|NWNE   9  156 92 |MTL|20296|-|-|-|8144|-|4579|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_11
9|ROSS 35-0331H|SESE   3  156 92 |MTL|19854|-|-|-|1098|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_11
10|EN-MEIERS A-156-93- 13H-1|LOT1   18 156 92 |MTL|20696|-|-|-|792|-|0|HESS CORPORATION|ALGER - CONFIDENTIA|2011_11
11|HERON 5693 43-12H|SWSE   12 156 93 |MTL|21110|-|-|-|3793|-|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2011_11
12|MALLARD 5692 21-20H|SWNW   20 156 92 |MTL|20202|-|-|-|11838|-|9854|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2011_11
13|ADIX 25 1-H|NWNW   25 155 92 |MTL|17481|2720|848|30|1586|1341|1341|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
14|ALGER STATE 16-21 1-H|SESW   9  155 92 |MTL|20373|12553|5190|30|11849|2508|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
15|ANDERSON 28-33 1-H|NWNW   28 155 92 |MTL|17351|6866|2909|29|5997|4971|4971|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
16|ARVID ANDERSON 14-11 1-H|SWSE   14 155 92 |MTL|19198|7561|3604|30|8375|1646|319|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
17|BAKKE 23 1-H|NWNW   23 155 92 |MTL|16893|781|251|30|630|473|473|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
18|BROWN 30-19 1-H|SWSE   30 156 93 |MTL|18760|9097|4870|30|9533|9863|8444|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
19|BURES 20-29 1H|NWNE   20 155 93 |MTL|19058|22471|52|16|21628|20738|4044|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
20|BURES 20-29 2H|NWNE   20 155 93 |MTL|20306|16620|9936|20|16314|16415|6090|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
21|CARKUFF 22 1-H|SESE   22 155 92 |MTL|17165|1921|913|30|1632|1141|1141|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
22|CHARLIE SORENSON 17-8 1-H|NWNE   20 155 93 |MTL|19788|31725|9175|29|31742|30716|5676|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
23|CLIFFORD BAKKE 26-35 1-H|NENW   26 155 92 |MTL|18896|8520|2533|30|7954|5362|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
24|CVANCARA 20-17 1-H|SESE   20 155 92 |MTL|17355|10972|4468|24|10164|7286|7191|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
25|DOMASKIN 30-31 1-H|NWNE   30 155 92 |MTL|19057|9302|3653|30|9541|8629|8629|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
26|ESTHER HYNEK 10-11 1-H|SWNW   10 155 93 |MTL|18881|4540|3107|30|5337|2245|2223|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
27|HOLM 9-4  2H|SESW   9  155 92 |MTL|20371|6958|7001|30|7275|4677|117|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
28|HOLM 9-4 1-H|SESW   9  155 92 |MTL|18981|9690|4925|27|9589|7640|36|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
29|HOSPITAL 31-36 1-H|NESE   31 156 92 |MTL|19532|9885|8921|29|9764|12556|11031|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
30|HYNEK 2 1H|LOT 4  2  155 93 |MTL|16898|515|333|30|223|276|276|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
31|JACK CVANCARA 19-18 1-H|SWSE   19 155 92 |MTL|18628|4563|2012|30|5166|2570|2570|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
32|JEROME ANDERSON 15-10 1-H|SWSE   15 155 92 |MTL|18547|4417|1998|30|3393|3448|1843|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
33|LIFFRIG 29-20 1-H|SWSE   29 156 93 |MTL|18371|3552|2935|29|3389|2588|2588|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
34|MANITOU STATE 36 1-H|SESE   36 156 93 |MTL|17018|1063|1771|29|855|560|560|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_11
