|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW    23 151 101|MCK|9132|899|17|31|849|866|686|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2010_03
1|BOLKEN   24-12|NWSW    24 151 101|MCK|9617|355|2430|31|422|458|235|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_03
2|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|269|1124|31|173|375|243|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_03
3|SOVIG  25-2|NWNE    25 151 101|MCK|9844|83|290|31|211|186|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_03
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|344|483|31|461|3498|3374|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2010_03
5|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|71|0|31|46|146|65|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2010_03
6|JEROME ANDERSON 15-10 1-H|SWSE    15 155 92 |MTL|18547|-|-|-|21232|-|10951|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2010_03
7|LIFFRIG 29-20 1-H|SWSE    29 156 93 |MTL|18371|-|-|-|14851|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2010_03
8|SORENSON 29-32 1-H|NWNE    29 155 92 |MTL|18654|-|-|-|1071|-|752|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2010_03
9|ROSS 100-09H|SWSW    9  156 92 |MTL|18444|-|-|-|3206|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_03
10|ROSS 21-04H|LOT1    4  156 92 |MTL|18310|-|-|-|5395|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_03
11|EN-DOBROVOLNY-155-93- 2128H-1|NWNE    21 155 93 |MTL|18405|-|-|-|4302|-|3342|HESS CORPORATION|ALGER - CONFIDENTIA|2010_03
12|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|3145|1662|31|2916|1681|1429|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_03
13|ANDERSON 28-33 1-H|NWNW    28 155 92 |MTL|17351|8031|2777|29|7884|4912|4175|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_03
14|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|927|498|31|833|72|61|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_03
15|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|2179|1131|31|1928|1102|937|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_03
16|HYNEK 2 1H|LOT 4   2  155 93 |MTL|16898|997|673|26|887|740|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_03
17|MANITOU STATE 36 #1-H|SESE    36 156 93 |MTL|17018|895|910|31|896|930|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_03
18|STROBECK 27-34 1-H|NWNW    27 155 92 |MTL|17724|8087|5082|31|8094|6038|5132|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_03
19|ROSS  10-18H|SWSE    18 156 92 |MTL|18024|2429|863|26|2080|1292|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_03
20|ROSS  4-05H|SESE    5  156 92 |MTL|17526|4916|3634|31|4570|3579|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_03
21|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|3727|2400|30|3176|2810|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_03
22|ROSS 3-04H|LOT3    4  156 92 |MTL|17795|3145|2328|31|3018|2312|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_03
23|ROSS 5-08H|SWSE    8  156 92 |MTL|17531|5467|2851|31|5435|3727|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_03
24|ROSS 7-17H|NW NW 17 156 92   |MTL|16586|3221|2268|31|2977|2213|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_03
25|BAKKE  11-24H|NWNW    24 155 92 |MTL|17359|2720|595|30|2862|955|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2010_03
26|EN-CVANCARA-155-93- 1522H-1|NENW    15 155 93 |MTL|17389|2076|143|30|2057|1948|1948|HESS CORPORATION|ALGER - BAKKE|2010_03
27|EN-HYNEK-155-93- 0112H-1|NENW    1  155 93 |MTL|17378|1887|339|31|1930|1922|1922|HESS CORPORATION|ALGER - BAKKE|2010_03
28|EN-STATE B-155-93- 1609H-1|SESE    16 155 93 |MTL|18229|4572|480|31|4678|3703|3703|HESS CORPORATION|ALGER - BAKKE|2010_03
29|RS-ANDERSON-156-92- 3229H-1|SESE    32 156 92 |MTL|17664|3365|303|31|3224|3000|3000|HESS CORPORATION|ALGER - BAKKE|2010_03
30|RS-STATE D-155-92- 0203H-1|SESE    2  155 92 |MTL|17792|1981|278|31|1975|1487|1487|HESS CORPORATION|ALGER - BAKKE|2010_03
31|RS-THOMPSON-155-92- 0112H-1|LOT 4   1  155 92 |MTL|17572|3560|275|31|3538|1854|1854|HESS CORPORATION|ALGER - BAKKE|2010_03
32|MELL 44-21H|SESE    21 156 93 |MTL|17477|1172|459|31|1447|1439|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2010_03
