|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|BILL 14-23 2TFH|SWSW   11 151 101|MCK|22021|2662|5769|15|2389|6835|4736|BRIGHAM OIL & GAS, L.P.|ALEXANDER - BAKKE|2012_10
1|BILL 14-23 1H|SWSW   11 151 101|MCK|22023|6222|6111|20|6424|2312|0|BRIGHAM OIL & GAS, L.P.|ALEXANDER - BAKKE|2012_10
2|SKEDSVOLD     23-6|SENW   23 151 101|MCK|9132|1187|37|31|1120|890|713|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2012_10
3|BOLKEN    24-12|NWSW   24 151 101|MCK|9617|365|2519|29|218|209|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_10
4|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|251|557|31|347|132|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_10
5|SOVIG  25-2|NWNE   25 151 101|MCK|9844|34|215|31|0|186|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_10
6|HANSEN 2-23|W2SE   23 151 101|MCK|15670|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_10
7|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|66|0|31|92|81|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_10
8|VACHAL 3-34 #3H|SESE   3  155 93 |MTL|22380|-|-|-|17047|-|3876|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_10
9|WRIGHT   4-33 #3TFH|SESE   4  155 93 |MTL|22482|-|-|-|14653|-|7736|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_10
10|WRIGHT 4-33 #4H|SESE   4  155 93 |MTL|22481|-|-|-|15703|-|9475|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_10
11|BLANCHET FEDERAL 5693 41-28H|SWSW   28 156 93 |MTL|22676|-|-|-|4668|-|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2012_10
12|ATHENA 3-36H|SWSE   36 155 92 |MTL|22164|-|-|-|915|-|0|SLAWSON EXPLORATION COMPANY, INC.|ALGER - CONFIDENTIA|2012_10
13|ADIX 25 1-H|NWNW   25 155 92 |MTL|17481|1810|1527|31|1707|925|925|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_10
14|ALGER STATE 16-21 1-H|SESW   9  155 92 |MTL|20373|2967|1637|13|3516|1637|1281|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_10
