|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW    23 151 101|MCK|9132|619|13|30|869|723|562|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2010_05
1|BOLKEN   24-12|NWSW    24 151 101|MCK|9617|347|2212|31|220|534|325|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_05
2|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|255|917|31|171|355|223|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_05
3|SOVIG  25-2|NWNE    25 151 101|MCK|9844|60|245|31|0|175|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_05
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|238|272|31|210|NR|NR|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2010_05
5|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|68|0|31|46|NR|NR|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2010_05
6|JACK CVANCARA 19-18 1-H|SWSE    19 155 92 |MTL|18628|-|-|-|41254|-|15835|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2010_05
7|SORENSON 29-32 1-H|NWNE    29 155 92 |MTL|18654|-|-|-|24626|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2010_05
8|ROSS 12-06H|SESE    6  156 92 |MTL|18118|-|-|-|1721|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_05
9|EN-SKABO TRUST-155-93- 0631H-1|SWSE    6  155 93 |MTL|18677|-|-|-|8298|-|8603|HESS CORPORATION|ALGER - CONFIDENTIA|2010_05
10|HYNEK 5693 42-35H|SESW    35 156 93 |MTL|18466|-|-|-|3942|-|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2010_05
11|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|2562|1324|29|2218|1295|1136|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_05
12|ANDERSON 28-33 1-H|NWNW    28 155 92 |MTL|17351|10452|3621|31|10753|7677|6656|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_05
13|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|847|306|25|832|106|93|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_05
14|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|2148|1064|31|1998|1621|1422|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_05
15|HYNEK 2 1H|LOT 4   2  155 93 |MTL|16898|752|579|31|860|495|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_05
16|JEROME ANDERSON 15-10 1-H|SWSE    15 155 92 |MTL|18547|11868|5772|30|12276|12073|10746|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_05
17|LIFFRIG 29-20 1-H|SWSE    29 156 93 |MTL|18371|5397|4596|23|5897|7437|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_05
18|MANITOU STATE 36 #1-H|SESE    36 156 93 |MTL|17018|845|803|31|783|525|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_05
19|STROBECK 27-34 1-H|NWNW    27 155 92 |MTL|17724|6794|4235|31|6713|6454|5662|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_05
20|ROSS  10-18H|SWSE    18 156 92 |MTL|18024|0|0|0|0|0|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_05
21|ROSS  4-05H|SESE    5  156 92 |MTL|17526|5780|3911|31|5441|4228|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_05
22|ROSS 100-09H|SWSW    9  156 92 |MTL|18444|3276|3089|21|2943|1886|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_05
23|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|2961|1840|31|2986|2304|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_05
24|ROSS 21-04H|LOT1    4  156 92 |MTL|18310|3483|2949|17|3887|2246|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_05
25|ROSS 3-04H|LOT3    4  156 92 |MTL|17795|3458|2296|31|3782|2527|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_05
26|ROSS 5-08H|SWSE    8  156 92 |MTL|17531|4374|2274|31|4120|3062|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_05
27|ROSS 7-17H|NW NW 17 156 92   |MTL|16586|2780|2020|31|2562|1947|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_05
28|BAKKE  11-24H|NWNW    24 155 92 |MTL|17359|2060|503|28|2286|676|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2010_05
29|EN-CVANCARA-155-93- 1522H-1|NENW    15 155 93 |MTL|17389|1945|264|31|2014|1889|1889|HESS CORPORATION|ALGER - BAKKE|2010_05
30|EN-DOBROVOLNY-155-93- 2128H-1|NWNE    21 155 93 |MTL|18405|2445|574|25|2483|1563|1563|HESS CORPORATION|ALGER - BAKKE|2010_05
31|EN-HYNEK-155-93- 0112H-1|NENW    1  155 93 |MTL|17378|1666|691|31|1177|1461|1461|HESS CORPORATION|ALGER - BAKKE|2010_05
32|EN-STATE B-155-93- 1609H-1|SESE    16 155 93 |MTL|18229|5831|1225|31|5955|5320|5320|HESS CORPORATION|ALGER - BAKKE|2010_05
33|RS-ANDERSON-156-92- 3229H-1|SESE    32 156 92 |MTL|17664|3066|523|31|2605|2686|2686|HESS CORPORATION|ALGER - BAKKE|2010_05
34|RS-STATE D-155-92- 0203H-1|SESE    2  155 92 |MTL|17792|1807|509|31|1808|1403|1403|HESS CORPORATION|ALGER - BAKKE|2010_05
35|RS-THOMPSON-155-92- 0112H-1|LOT 4   1  155 92 |MTL|17572|3676|572|31|3678|2446|2446|HESS CORPORATION|ALGER - BAKKE|2010_05
36|MELL 44-21H|SESE    21 156 93 |MTL|17477|1046|424|31|1150|880|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2010_05
