|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|AMBER ELIZABETH 36-25H|SESW   36 151 101|MCK|23615|-|-|-|6829|-|0|MUREX PETROLEUM CORPORATION|ALEXANDER - CONFIDENTIA|2012_12
1|BILL 14-23 2TFH|SWSW   11 151 101|MCK|22021|5567|0|31|5848|6437|797|BRIGHAM OIL & GAS, L.P.|ALEXANDER - BAKKE|2012_12
2|BILL 14-23 1H|SWSW   11 151 101|MCK|22023|9722|0|31|10300|8579|1845|BRIGHAM OIL & GAS, L.P.|ALEXANDER - BAKKE|2012_12
3|SKEDSVOLD     23-6|SENW   23 151 101|MCK|9132|869|28|31|891|501|321|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2012_12
4|BOLKEN   24-12|NWSW   24 151 101|MCK|9617|158|1197|16|223|115|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_12
5|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|266|562|31|356|132|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_12
6|SOVIG  25-2|NWNE   25 151 101|MCK|9844|53|198|21|0|126|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_12
7|HANSEN 2-23|W2SE   23 151 101|MCK|15670|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_12
8|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|71|0|31|95|81|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_12
9|HOLM  9-4 3TFH|SWSW   9  155 92 |MTL|22730|-|-|-|0|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_12
10|VACHAL 3-34 2TFH|SWSW   3  155 93 |MTL|22929|-|-|-|9169|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_12
11|BLANCHET FEDERAL 5693 41-28H|SWSW   28 156 93 |MTL|22676|-|-|-|9261|-|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2012_12
12|BUI FEDERAL 5693 44-27B|SESE   27 156 93 |MTL|23528|-|-|-|9432|-|6|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2012_12
13|GINNY H 5693 41-35T|SWSW   35 156 93 |MTL|23530|-|-|-|1832|-|219|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2012_12
14|NGUYEN FEDERAL 5693 44-27T|SESE   27 156 93 |MTL|23527|-|-|-|9685|-|12|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2012_12
15|ATHENA 3-36H|SWSE   36 155 92 |MTL|22164|-|-|-|488|-|0|SLAWSON EXPLORATION COMPANY, INC.|ALGER - CONFIDENTIA|2012_12
16|ADIX 25 1-H|NWNW   25 155 92 |MTL|17481|1625|0|31|451|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
17|ALGER STATE   16-21 4TFH|SESE   9  155 92 |MTL|22713|9588|0|27|9319|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
18|ALGER STATE 16-21 3H|SESE   9  155 92 |MTL|22711|11183|0|31|10520|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
19|ALGER STATE 16-21 1-H|SESW   9  155 92 |MTL|20373|6730|0|30|6456|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
20|ANDERSON 28-33 2TFH|NWNE   28 155 92 |MTL|22061|7878|0|31|8079|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
21|ANDERSON 28-33 3H|NWNE   28 155 92 |MTL|22062|8450|0|27|8090|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
22|ANDERSON 28-33 4TFH|NWNW   28 155 92 |MTL|22063|2426|0|24|2160|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
23|ANDERSON 28-33 1-H|NWNW   28 155 92 |MTL|17351|6455|0|31|6029|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
24|ARVID ANDERSON     14-11 #2TFH|SESE   14 155 92 |MTL|22292|2920|0|22|2478|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
25|ARVID ANDERSON     14-11 #3H|SESE   14 155 92 |MTL|22291|10390|0|31|10275|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
26|ARVID ANDERSON 14-11 #4TFH|SESW   14 155 92 |MTL|22317|6710|0|31|6762|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
27|ARVID ANDERSON 14-11 1-H|SWSE   14 155 92 |MTL|19198|8322|0|29|8952|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
28|BAKKE 23 1-H|NWNW   23 155 92 |MTL|16893|98|0|4|207|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_12
