|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|BILL 14-23 2TFH|SWSW   11 151 101|MCK|22021|5360|11968|28|5115|5965|2062|BRIGHAM OIL & GAS, L.P.|ALEXANDER - BAKKE|2012_11
1|BILL 14-23 1H|SWSW   11 151 101|MCK|22023|9297|8520|29|9344|8663|3939|BRIGHAM OIL & GAS, L.P.|ALEXANDER - BAKKE|2012_11
2|SKEDSVOLD     23-6|SENW   23 151 101|MCK|9132|904|64|30|1095|268|105|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2012_11
3|BOLKEN   24-12|NWSW   24 151 101|MCK|9617|326|2218|26|446|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_11
4|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|258|610|30|178|132|5|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_11
5|SOVIG  25-2|NWNE   25 151 101|MCK|9844|42|223|30|223|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_11
6|HANSEN 2-23|W2SE   23 151 101|MCK|15670|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_11
7|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|69|0|30|47|1|1|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_11
8|HOLM  9-4 3TFH|SWSW   9  155 92 |MTL|22730|-|-|-|0|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_11
9|LIFFRIG 29-20 5H|SESE   29 156 93 |MTL|23068|-|-|-|0|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_11
10|ROSS-ALGER 6-7 5H|SESE   31 156 92 |MTL|23067|-|-|-|15744|-|7752|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_11
11|WRIGHT 4-33 #4H|SESE   4  155 93 |MTL|22481|-|-|-|7423|-|4629|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_11
12|EN-DOBROVOLNY-155-93- 2128H-3|NENW   21 155 93 |MTL|22770|-|-|-|11363|-|11519|HESS CORPORATION|ALGER - CONFIDENTIA|2012_11
13|BLANCHET FEDERAL 5693 41-28H|SWSW   28 156 93 |MTL|22676|-|-|-|8719|-|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2012_11
14|ATHENA 3-36H|SWSE   36 155 92 |MTL|22164|-|-|-|11537|-|0|SLAWSON EXPLORATION COMPANY, INC.|ALGER - CONFIDENTIA|2012_11
