|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW    23 151 101|MCK|9132|955|20|28|856|1063|906|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2010_02
1|BOLKEN   24-12|NWSW    24 151 101|MCK|9617|308|2194|28|224|389|187|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_02
2|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|421|1024|28|343|343|224|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_02
3|SOVIG   25-2|NWNE    25 151 101|MCK|9844|65|250|27|0|157|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_02
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|524|429|28|235|3319|3207|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2010_02
5|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|112|0|28|91|133|60|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2010_02
6|LIFFRIG 29-20 1-H|SWSE    29 156 93 |MTL|18371|-|-|-|19921|-|0|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2010_02
7|ROSS 21-04H|LOT1    4  156 92 |MTL|18310|-|-|-|4490|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_02
8|EN-DOBROVOLNY-155-93- 2128H-1|NWNE    21 155 93 |MTL|18405|-|-|-|2114|-|1762|HESS CORPORATION|ALGER - CONFIDENTIA|2010_02
9|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|3069|1423|28|3178|1651|1651|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_02
10|ANDERSON 28-33 1-H|NWNW    28 155 92 |MTL|17351|9281|3093|28|9937|6255|6255|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_02
11|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|654|912|19|454|91|91|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_02
12|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|2070|975|28|2281|1770|1770|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_02
13|HYNEK 2 1H|LOT 4   2  155 93 |MTL|16898|467|253|28|941|560|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_02
14|MANITOU STATE 36 #1-H|SESE    36 156 93 |MTL|17018|823|803|21|889|600|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_02
15|STROBECK 27-34 1-H|NWNW    27 155 92 |MTL|17724|8263|5015|28|8877|6545|6545|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_02
16|ROSS  10-18H|SWSE    18 156 92 |MTL|18024|2573|1028|17|2414|1389|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_02
17|ROSS  4-05H|SESE    5  156 92 |MTL|17526|4757|3251|22|4797|3440|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_02
18|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|4050|2202|28|4070|3050|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_02
19|ROSS 3-04H|LOT3    4  156 92 |MTL|17795|2277|1487|22|2075|1660|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_02
20|ROSS 5-08H|SWSE    8  156 92 |MTL|17531|5962|2914|28|5882|4061|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_02
21|ROSS 7-17H|NW NW 17 156 92   |MTL|16586|3250|2188|28|2928|2207|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_02
22|BAKKE  11-24H|NWNW    24 155 92 |MTL|17359|2896|640|28|2745|1016|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2010_02
23|EN-CVANCARA-155-93- 1522H-1|NENW    15 155 93 |MTL|17389|2016|68|28|2098|1772|1772|HESS CORPORATION|ALGER - BAKKE|2010_02
24|EN-HYNEK-155-93- 0112H-1|NENW    1  155 93 |MTL|17378|2212|988|27|2074|1825|1825|HESS CORPORATION|ALGER - BAKKE|2010_02
25|EN-STATE B-155-93- 1609H-1|SESE    16 155 93 |MTL|18229|8759|2757|28|8898|8152|8152|HESS CORPORATION|ALGER - BAKKE|2010_02
26|RS-ANDERSON-156-92- 3229H-1|SESE    32 156 92 |MTL|17664|3325|777|28|3516|2644|2644|HESS CORPORATION|ALGER - BAKKE|2010_02
27|RS-STATE D-155-92- 0203H-1|SESE    2  155 92 |MTL|17792|1992|749|28|1980|1449|1449|HESS CORPORATION|ALGER - BAKKE|2010_02
28|RS-THOMPSON-155-92- 0112H-1|LOT 4   1  155 92 |MTL|17572|3132|672|28|3117|1536|1536|HESS CORPORATION|ALGER - BAKKE|2010_02
29|MELL 44-21H|SESE    21 156 93 |MTL|17477|1018|481|28|731|1249|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2010_02
30|EN-LABAR-154-94 0310H-1|NWNW    3  154 94 |MTL|17561|1109|168|28|1144|1739|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_02
31|EN-MOE-154-94- 0508H-1|LOT 1   5  154 94 |MTL|17077|949|285|28|993|1617|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_02
32|EN-PEDERSON-154-94- 0409H-1|LOT 1   4  154 94 |MTL|17099|1663|508|28|1699|3950|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_02
33|NELSON  14-33H|SWSW    33 155 94 |MTL|16552|SI|0|0|0|0|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_02
34|SARA G. BARSTAD 6-44H|SWSW    6  154 94 |MTL|15889|408|974|28|649|714|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_02
35|HOVE 11X-35|NWNW    35 155 95 |WIL|15757|266|138|28|228|590|235|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_02
36|KRIEGER  42X-17|SENE    17 154 94 |MTL|18169|5186|1663|29|5476|6906|6906|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_02
37|MARMON 41X-12|NENE    12 154 95 |WIL|18143|4221|1126|29|4208|6216|6216|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_02
38|MARMON HAHN TRUST 11X-11|NWNW    11 154 95 |WIL|16315|1780|304|29|1787|2766|2650|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_02
39|MOE STATE 31X-36|NWNE    36 155 95 |WIL|17869|2043|1106|29|2203|3124|3037|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_02
40|FURHMAN 36-162-99H|NWNW    36 162 99 |DIV|18280|-|-|-|1854|-|0|BAYTEX ENERGY USA LTD|AMBROSE - CONFIDENTIA|2010_02
41|TORGESON 3-30H|NENW    30 163 99 |DIV|18285|-|-|-|4268|-|0|ST MARY LAND & EXPLORATION COMPANY|AMBROSE - CONFIDENTIA|2010_02
42|LARSON    11-162-99H|NWNW    11 162 99 |DIV|16794|1036|840|28|1155|898|0|BAYTEX ENERGY USA LTD|AMBROSE - BAKKE|2010_02
