|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW    23 151 101|MCK|9132|1109|0|31|783|488|308|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2011_03
1|BOLKEN   24-12|NWSW    24 151 101|MCK|9617|366|0|29|212|368|159|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_03
2|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|295|672|31|351|236|104|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_03
3|SOVIG  25-2|NWNE    25 151 101|MCK|9844|89|368|31|212|186|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_03
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|123|203|31|242|722|606|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2011_03
5|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|78|0|31|93|109|28|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2011_03
6|HOSPITAL 31-36 1-H|NESE    31 156 92 |MTL|19532|-|-|-|12402|-|4733|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2011_03
7|ROSS  29-1716H|NWNE    17 156 92 |MTL|19722|-|-|-|9549|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_03
8|ROSS 22-07H|SESE    7  156 92 |MTL|19358|-|-|-|7136|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_03
9|ROSS 27-2728H|SESW    27 156 92 |MTL|19560|-|-|-|7118|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_03
10|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|1220|570|14|1634|979|827|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
11|ANDERSON 28-33 1-H|NWNW    28 155 92 |MTL|17351|6273|3377|31|5964|3059|2783|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
12|ARVID ANDERSON 14-11 1-H|SWSE    14 155 92 |MTL|19198|8468|3931|23|7992|7974|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
13|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|673|224|31|443|517|470|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
14|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|1793|920|31|1281|1215|1105|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
15|CLIFFORD BAKKE 26-35 1-H|NENW    26 155 92 |MTL|18896|14853|4051|31|14446|10423|9210|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
16|CVANCARA 20-17 1-H|SESE    20 155 92 |MTL|17355|36160|14724|29|35668|32046|19088|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
17|DOMASKIN 30-31 1-H|NWNE    30 155 92 |MTL|19057|17084|6698|31|15983|15761|13342|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
18|HYNEK 2 1H|LOT 4   2  155 93 |MTL|16898|665|453|30|248|213|194|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
19|JACK CVANCARA 19-18 1-H|SWSE    19 155 92 |MTL|18628|8274|3537|31|7833|6087|5538|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
20|JEROME ANDERSON 15-10 1-H|SWSE    15 155 92 |MTL|18547|6367|2807|31|5763|3391|2814|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
21|LIFFRIG 29-20 1-H|SWSE    29 156 93 |MTL|18371|5711|2495|13|5596|5789|4825|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
22|MANITOU STATE 36 1-H|SESE    36 156 93 |MTL|17018|43|84|1|0|20|18|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
23|ROGER SORENSON 8-5 1H|SWSE    8  155 92 |MTL|19070|7722|4061|21|7576|6153|2539|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
24|ROSS-ALGER 6-7 1-H|SESW    31 156 92 |MTL|18784|7529|3023|13|6603|6576|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
25|SORENSON 29-32 1-H|NWNE    29 155 92 |MTL|18654|4344|3188|16|4604|3036|2762|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
26|SORENSON 29-32 2-H|SESE    20 155 92 |MTL|19513|36265|8853|20|34730|31953|12484|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
27|STROBECK 27-34 1-H|NWNW    27 155 92 |MTL|17724|5094|3111|31|4675|3444|3133|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
28|WRIGHT 4-33 1-H|SESW    4  155 93 |MTL|18744|8083|5521|31|7723|10302|9163|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_03
29|ROSS  10-18H|SWSE    18 156 92 |MTL|18024|1583|569|9|1284|941|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
30|ROSS  18-10H|SESE    10 156 92 |MTL|18843|2732|1886|30|2761|1534|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
31|ROSS  4-05H|SESE    5  156 92 |MTL|17526|2540|1955|29|2801|1794|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
32|ROSS 100-09H|SWSW    9  156 92 |MTL|18444|2295|1489|31|2341|1379|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
33|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|1528|1040|31|1379|1250|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
34|ROSS 11-27H|SESE    27 156 92 |MTL|18062|3325|1273|30|3650|2823|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
35|ROSS 12-06H|SESE    6  156 92 |MTL|18118|1906|1307|31|1699|1345|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
36|ROSS 13-15H|SESE    15 156 92 |MTL|18819|3001|1666|29|2952|2094|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
37|ROSS 15-28H|SESE    28 156 92 |MTL|18763|3324|1788|25|3209|2730|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
38|ROSS 20-16H|NWNW    16 156 92 |MTL|16587|3037|1471|31|2478|2465|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
39|ROSS 21-04H|LOT1    4  156 92 |MTL|18310|2181|1798|31|2383|1471|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
40|ROSS 3-04H|LOT3    4  156 92 |MTL|17795|1569|1160|31|1576|1119|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
41|ROSS 5-08H|SWSE    8  156 92 |MTL|17531|2623|1484|31|2507|1861|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
42|ROSS 7-17H|NWNW    17 156 92 |MTL|16586|1616|1377|31|1642|1152|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_03
43|ANDERSON      11-13H|NWNW    13 155 92 |MTL|18647|3807|824|11|3471|687|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2011_03
44|BAKKE  11-24H|NWNW    24 155 92 |MTL|17359|328|65|2|235|8|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2011_03
45|EN-ABRAHAMSON-155-93- 3019H-1|SWSE    30 155 93 |MTL|18838|3980|1298|30|3937|4797|4609|HESS CORPORATION|ALGER - BAKKE|2011_03
46|EN-ABRAHAMSON-155-93- 3019H-2|SWSE   30 155 93 |MTL|18839|SI|0|0|0|0|0|HESS CORPORATION|ALGER - BAKKE|2011_03
47|EN-ABRAHAMSON-155-93- 3019H-3|SWSE   30 155 93 |MTL|18840|6584|2810|22|6417|7033|6721|HESS CORPORATION|ALGER - BAKKE|2011_03
48|EN-CVANCARA-155-93- 1522H-1|NENW   15 155 93 |MTL|17389|1531|344|31|1532|1788|1751|HESS CORPORATION|ALGER - BAKKE|2011_03
49|EN-DOBROVOLNY-155-93- 2128H-1|NWNE   21 155 93 |MTL|18405|1807|639|31|1811|1692|1648|HESS CORPORATION|ALGER - BAKKE|2011_03
50|EN-HYNEK-155-93- 0112H-1|NENW   1  155 93 |MTL|17378|1175|622|31|1199|1488|1488|HESS CORPORATION|ALGER - BAKKE|2011_03
51|EN-REHAK-155-93- 0718H-1|NENW   7  155 93 |MTL|18674|4448|1004|31|4453|5418|5309|HESS CORPORATION|ALGER - BAKKE|2011_03
