HORIZON-CARTWRIGHT,nan
HORIZON-OLSON,nan
HRC OPERATING,nan
HUNT OIL,HUNT CONSOLIDATED
HYDRA SERVICES,nan
I. J. WILHITE-GLEN BURTON,nan
IHD LIQUIDS MANAGEMENT,nan
IHD SOLIDS MANAGEMENT,nan
IMPERIAL OIL OF NORTH DAKOTA,nan
IRON OIL OPERATING,nan
J&M DISPOSAL,nan
J.P. OIL COMPANY,nan
JAMES M PETERSON,nan
JAMES PETERSON,nan
JAYHAWK ENERGY,nan
JENEX OPERATING,nan
JERRY E TUCKER,nan
JETTISON,nan
JORDAN EXPLORATION COMPANY,nan
K T ENTERPRISES,nan
K&J OPERATING,nan
KAISER-FRANCIS OIL,KAISER-FRANCIS OIL
KEY ENERGY SERVICES,nan
KOCH HYDROCARBON,nan
KODA RESOURCES OPERATING,nan
KODIAK OIL & GAS (USA,nan
KRAKEN DEVELOPMENT III,nan
KRAKEN OPERATING,nan
KRB ENTERPRISE,nan
LANDTECH ENTERPRISES,nan
LAYLINE PETROLEUM I,nan
LEGACY OIL & GAS ND,nan
LEGACY RESERVES,nan
LEGACY RESERVES OPERATING,LEGACY RESERVES OPERATING
LELAND OIL & GAS,nan
LEOMAC,nan
LIBERTY MIDSTREAM SOLUTIONS,nan
LIBERTY RESOURCES,LIBERTY RESOURCES
LIBERTY RESOURCES MANAGEMENT COMPANY,nan
LIME ROCK RESOURCES III-A,LIME ROCK RESOURCES
LODIN,nan
LOUISIANA LAND & EXPLORATION,nan
LOWELL J. WILLIAMSON,nan
LUFF EXPLORATION,LUFF EXPLORATION
MACQUARIE BARNETT,nan
MADISON DISPOSAL 2-1,nan
MANCAL RESOURCES,nan
MANN ENTERPRISES,nan
MANN OIL COMPANY,nan
MARATHON OIL,MARATHON OIL
MARQUIS ALLIANCE ENERGY GROUP USA,nan
MARSHA AZAR,nan
MBI OIL & GAS,nan
MCKENZIE ENERGY PARTNERS,nan
MCOR OIL & GAS,nan
MCRAE & HENRY,nan
MEDORA MINERALS,nan
MERCURY RESOURCES,nan
MERIT ENERGY,MERIT ENERGY
MESA OIL SERVICES,nan
MID-CON ENERGY OPERATING,nan
MID-CONTINENT SWD,nan
MIDCON ENERGY OPERATING,nan
MISSOURI BASIN WELL SERVICE,nan
MISSOURI BREAKS,nan
MISSOURI RIVER RESOURCES ND,nan
MISSOURI RIVER ROYALTY,nan
MOUNTAIN DIVIDE,nan
MOXIE DISPOSAL SYSTEMS,nan
MUREX PETROLEUM,MUREX PETROLEUM
NABORS COMPLETION & PRODUCTION SERVICES,nan
NADEL AND GUSSMAN ROCKIES,nan
NANCE PETROLEUM,nan
NEARBURG PRODUCING,nan
NEW HORIZON RESOURCES,nan
NEW MILLENNIUM RESOURCES,nan
NEWALTA ENVIRONMENTAL SERVICES,nan
NEWFIELD PRODUCTION,nan
NEXEN OIL AND GAS U.S.A,nan
NGL WATER SOLUTIONS BAKKEN,nan
NINE POINT ENERGY,nan
NOAH ENERGY,nan
NORTH DAKOTA 58505,nan
NORTH DAKOTA SWD #1,nan
NORTH PLAINS ENERGY II,nan
NORTH PLAINS ENERGY,nan
NORTH RANGE RESOURCES,nan
NORTON FRICKEY,nan
NP RESOURCES,nan
NUVERRA ENVIRONMENTAL SOLUTIONS,nan
OASIS PETROLEUM NORTH AMERICA,nan
OIL FOR AMERICA EXPLORATION,nan
OMIMEX PETROLEUM,nan
ONEOK ROCKIES MIDSTREAM,nan
OPEN RANGE,nan
ORION OIL & GAS,nan
OTCR,nan
OVACO ENERGY,nan
OXY LITTLE KNIFE,nan
OXY USA,nan
P & M PETROLEUM MANAGEMENT,nan
P.O. & G. OPERATING,nan
PANAMERICAN OPERATING,nan
PANTHER CREEK RESOURCES,nan
PANTHER ENERGY COMPANY,nan
PAUL RANKIN,nan
PDC,nan
PEAK GRASSLANDS,nan
PEAK NORTH DAKOTA,nan
