|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW   23 151 101|MCK|9132|479|5|29|442|409|241|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2012_02
1|BOLKEN    24-12|NWSW   24 151 101|MCK|9617|356|2467|29|0|462|253|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_02
2|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|269|0|29|177|163|40|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_02
3|SOVIG  25-2|NWNE   25 151 101|MCK|9844|55|292|28|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2012_02
4|HANSEN 2-23|W2SE   23 151 101|MCK|15670|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_02
5|SKEDSVOLD     1|SENE   23 151 101|MCK|8165|71|0|29|47|87|11|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2012_02
6|CLIFFORD BAKKE 26-35 #4H|NWNW   26 155 92 |MTL|21804|-|-|-|27324|-|2238|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_02
7|CLIFFORD BAKKE 26-35 #2H|NENE   26 155 92 |MTL|21358|-|-|-|33077|-|14477|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2012_02
8|ROSS 35-0331H|SESE   3  156 92 |MTL|19854|-|-|-|2378|-|902|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2012_02
9|CASPIAN 5693 43-11H|SWSE   11 156 93 |MTL|21048|-|-|-|12041|-|10353|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2012_02
10|HERON 5693 43-12H|SWSE   12 156 93 |MTL|21110|-|-|-|5978|-|3382|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2012_02
11|ADIX 25 1-H|NWNW   25 155 92 |MTL|17481|2080|15704|29|1980|1110|1110|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
12|ALGER STATE 16-21 1-H|SESW   9  155 92 |MTL|20373|4705|1627|18|4949|1787|1228|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
13|ANDERSON 28-33 1-H|NWNW   28 155 92 |MTL|17351|5302|2142|29|5077|3931|3931|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
14|ARVID ANDERSON 14-11 1-H|SWSE   14 155 92 |MTL|19198|6636|3529|29|6632|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
15|BAKKE 23 1-H|NWNW   23 155 92 |MTL|16893|749|236|29|1084|344|344|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
16|BARSTAD 23-14   #1-H|SWSE   23 156 93 |MTL|20907|1609|1646|12|1648|1811|1778|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
17|BARSTAD 23-14 #2TFH|SWSE   23 156 93 |MTL|20908|5508|4575|14|5608|4043|958|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
18|BROWN 30-19 #2H|NENW   31 156 93 |MTL|20790|4789|2483|16|4385|5305|1593|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
19|BROWN 30-19 1-H|SWSE   30 156 93 |MTL|18760|4235|2086|22|3966|2860|1516|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
20|BURES 20-29 1H|NWNE   20 155 93 |MTL|19058|13706|5257|29|13882|12995|2748|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
21|BURES 20-29 2H|NWNE   20 155 93 |MTL|20306|3922|1700|15|4495|4249|1014|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
22|CARKUFF 22 1-H|SESE   22 155 92 |MTL|17165|1330|773|29|1495|970|970|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
23|CHARLIE SORENSON 17-8   2H|NWNE   20 155 93 |MTL|20305|7715|4061|21|8260|6937|3756|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
24|CHARLIE SORENSON 17-8 1-H|NWNE   20 155 93 |MTL|19788|10722|4726|29|10977|10418|13|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
25|CLIFFORD BAKKE 26-35 #3H|NENE   26 155 92 |MTL|21359|30607|20439|29|30754|26053|14770|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
26|CLIFFORD BAKKE 26-35 1-H|NENW   26 155 92 |MTL|18896|723|2504|16|440|126|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2012_02
