|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW    23 151 101|MCK|9132|623|107|28|632|426|264|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2009_10
1|BOLKEN   24-12|NWSW    24 151 101|MCK|9617|315|2279|29|203|429|220|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_10
2|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|106|1060|31|172|246|114|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_10
3|SOVIG  25-2|NWNE    25 151 101|MCK|9844|42|243|12|0|72|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_10
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|250|493|25|230|2421|2321|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2009_10
5|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|28|0|31|46|111|30|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2009_10
6|ROSS  10-18H|SWSE    18 156 92 |MTL|18024|-|-|-|8615|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2009_10
7|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|-|-|-|3821|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2009_10
8|EN-STATE B-155-93- 1609H-1|SESE    16 155 93 |MTL|18229|-|-|-|11118|-|0|HESS CORPORATION|ALGER - CONFIDENTIA|2009_10
9|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|4804|2583|31|4750|4650|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_10
10|ANDERSON 28-33 1-H|NWNW    28 155 92 |MTL|17351|16413|5885|31|16369|17149|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_10
11|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|1154|424|31|1052|1550|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_10
12|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|2816|1411|31|3189|3100|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_10
