|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|AMBER ELIZABETH 36-25H|SESW    36 151 101|MCK|23615|8070|6123|30|8405|19402|19402|MUREX PETROLEUM CORPORATION|ALEXANDER - BAKKE|2013_07
1|BILL 14-23 2TFH|SWSW    11 151 101|MCK|22021|2415|6194|31|2174|2103|1712|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_07
2|BILL 14-23 1H|SWSW    11 151 101|MCK|22023|2203|4324|31|2195|1377|948|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_07
3|PORTER  35-26 #1TFH|SESW    35 151 101|MCK|23319|4890|10257|31|5037|4714|4708|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_07
4|PORTER  35-26 #2H|SESW    35 151 101|MCK|23320|2643|3054|31|3005|2933|2873|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_07
5|TIMBER CREEK 13-24 1TFH|NENW    13 151 101|MCK|23302|5305|1067|31|4766|6345|2238|STATOIL OIL & GAS LP|ALEXANDER - BAKKE|2013_07
6|SKEDSVOLD     23-6|SENW    23 151 101|MCK|9132|616|8|31|919|192|12|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2013_07
7|BOLKEN   24-12|NWSW    24 151 101|MCK|9617|161|3089|30|228|216|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2013_07
8|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2013_07
9|SOVIG  25-2|NWNE    25 151 101|MCK|9844|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2013_07
10|HANSEN 2-23|W2SE    23 151 101|MCK|15670|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2013_07
11|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2013_07
12|ALEXANDRIA 1-26-35H|NENW    26 161 100|DIV|25096|-|-|-|2780|-|0|HUNT OIL COMPANY|ALEXANDRIA - CONFIDENTIA|2013_07
13|ALEXANDRIA    1-33-28HTF|LOT3    1  160 101|DIV|23323|4325|6424|31|4478|3263|0|HUNT OIL COMPANY|ALEXANDRIA - BAKKE|2013_07
14|TOMLINSON 3-1HS|LOT3    1  161 100|DIV|21888|3263|5653|30|3277|2989|0|SM ENERGY COMPANY|ALEXANDRIA - BAKKE|2013_07
15|CLIFF 12-24H-25|SWNW    24 155 92 |MTL|23905|-|-|-|7004|-|887|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - CONFIDENTIA|2013_07
16|IRENE 12-13H-24|SWNW    13 155 92 |MTL|24511|-|-|-|7412|-|3314|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - CONFIDENTIA|2013_07
17|ERVIN 5693 11-24T|NWNW    24 156 93 |MTL|23766|-|-|-|5783|-|2907|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2013_07
18|KNAEBEL  5693 41-11T|SWSW    11 156 93 |MTL|24415|-|-|-|12032|-|1954|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2013_07
19|LENI 5693 42-11B|SESW    11 156 93 |MTL|24952|-|-|-|7696|-|2167|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2013_07
20|REYNOLDS 5693 42-11T|SESW    11 156 93 |MTL|24951|-|-|-|3970|-|1240|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - CONFIDENTIA|2013_07
21|ROSS  10-18H|SWSE    18 156 92 |MTL|18024|1346|657|31|1371|789|319|EOG RESOURCES, INC.|ALGER - BAKKE|2013_07
22|ROSS  18-10H|SESE    10 156 92 |MTL|18843|771|587|28|829|456|285|EOG RESOURCES, INC.|ALGER - BAKKE|2013_07
23|ROSS  29-1716H|NWNE    17 156 92 |MTL|19722|994|783|14|1338|903|821|EOG RESOURCES, INC.|ALGER - BAKKE|2013_07
24|ROSS  4-05H|SESE    5  156 92 |MTL|17526|1312|1060|31|1321|1101|946|EOG RESOURCES, INC.|ALGER - BAKKE|2013_07
25|ROSS 100-09H|SWSW    9  156 92 |MTL|18444|940|633|31|1251|747|582|EOG RESOURCES, INC.|ALGER - BAKKE|2013_07
26|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|899|0|31|858|622|415|EOG RESOURCES, INC.|ALGER - BAKKE|2013_07
27|ROSS 11-27H|SESE    27 156 92 |MTL|18062|1463|707|31|1479|1761|1379|EOG RESOURCES, INC.|ALGER - BAKKE|2013_07
28|ROSS 12-06H|SESE    6  156 92 |MTL|18118|890|651|31|1095|943|776|EOG RESOURCES, INC.|ALGER - BAKKE|2013_07
29|ROSS 13-15H|SESE    15 156 92 |MTL|18819|1091|714|31|1250|1171|1016|EOG RESOURCES, INC.|ALGER - BAKKE|2013_07
