|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW    23 151 101|MCK|9132|567|17|30|658|556|382|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2009_09
1|BOLKEN   24-12|NWSW    24 151 101|MCK|9617|327|2422|30|649|553|337|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_09
2|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|224|919|30|182|370|243|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_09
3|SOVIG  25-2|NWNE    25 151 101|MCK|9844|77|293|30|220|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_09
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|384|321|30|470|3542|3422|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2009_09
5|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|59|0|30|48|143|64|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2009_09
6|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|-|-|-|3739|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2009_09
7|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|2053|1281|20|1980|1345|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_09
8|ANDERSON 28-33 1-H|NWNW    28 155 92 |MTL|17351|21401|8664|30|21425|23572|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_09
9|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|1199|407|30|1305|1920|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_09
10|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|3232|1695|30|2832|3000|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_09
11|HYNEK 2 1H|LOT 4   2  155 93 |MTL|16898|797|574|30|622|900|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_09
12|MANITOU STATE 36 #1-H|SESE    36 156 93 |MTL|17018|996|1002|30|818|1500|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_09
13|STROBECK 27-34 1-H|NWNW    27 155 92 |MTL|17724|9832|7321|25|9422|10769|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_09
14|ROSS  4-05H|SESE    5  156 92 |MTL|17526|7375|6607|30|7332|5376|0|EOG RESOURCES, INC.|ALGER - BAKKE|2009_09
15|ROSS 5-08H|SWSE    8  156 92 |MTL|17531|10058|8005|23|9188|6783|0|EOG RESOURCES, INC.|ALGER - BAKKE|2009_09
16|ROSS 7-17H|NW NW 17 156 92   |MTL|16586|2874|2032|20|2197|2976|0|EOG RESOURCES, INC.|ALGER - BAKKE|2009_09
17|BAKKE  11-24H|NWNW    24 155 92 |MTL|17359|5036|1088|30|5073|7050|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2009_09
18|EN-CVANCARA-155-93- 1522H-1|NENW    15 155 93 |MTL|17389|2379|591|30|2505|2558|0|HESS CORPORATION|ALGER - BAKKE|2009_09
19|EN-HYNEK-155-93- 0112H-1|NENW    1  155 93 |MTL|17378|3056|1611|30|3145|4116|0|HESS CORPORATION|ALGER - BAKKE|2009_09
20|RS-ANDERSON-156-92- 3229H-1|SESE    32 156 92 |MTL|17664|3677|883|30|3838|3009|3009|HESS CORPORATION|ALGER - BAKKE|2009_09
21|RS-STATE D-155-92- 0203H-1|SESE    2  155 92 |MTL|17792|3186|1207|30|3132|1968|1968|HESS CORPORATION|ALGER - BAKKE|2009_09
22|RS-THOMPSON-155-92- 0112H-1|LOT 4   1  155 92 |MTL|17572|4956|1023|30|4873|2500|2500|HESS CORPORATION|ALGER - BAKKE|2009_09
23|MELL 44-21H|SESE    21 156 93 |MTL|17477|1619|1649|30|1356|1987|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2009_09
24|MARMON 41X-12|NENE    12 154 95 |WIL|18143|-|-|-|13988|-|18138|XTO ENERGY INC.|ALKALI CREEK - CONFIDENTIA|2009_09
25|EN-LABAR-154-94 0310H-1|NWNW    3  154 94 |MTL|17561|1726|364|30|1712|2773|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2009_09
26|EN-MOE-154-94- 0508H-1|LOT 1   5  154 94 |MTL|17077|1275|426|30|1259|2814|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2009_09
