|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW    23 151 101|MCK|9132|723|23|31|912|582|414|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2010_08
1|BOLKEN   24-12|NWSW    24 151 101|MCK|9617|254|1549|22|421|297|146|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_08
2|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|233|732|31|174|268|136|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_08
3|SOVIG  25-2|NWNE    25 151 101|MCK|9844|73|293|31|0|175|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2010_08
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|52|170|31|233|810|778|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2010_08
5|SKEDSVOLD     1|SENE    23 151 101|MCK|8165|62|0|31|46|117|36|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2010_08
6|ROSS-ALGER 6-7 1-H|SESW    31 156 92 |MTL|18784|-|-|-|17730|-|11043|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2010_08
7|WRIGHT 4-33 1-H|SESW    4  155 93 |MTL|18744|-|-|-|24635|-|7694|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2010_08
8|ROSS  18-10H|SESE    10 156 92 |MTL|18843|-|-|-|5572|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_08
9|ROSS 11-27H|SESE    27 156 92 |MTL|18062|-|-|-|5635|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_08
10|ROSS 12-06H|SESE    6  156 92 |MTL|18118|-|-|-|4504|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_08
11|ROSS 13-15H|SESE    15 156 92 |MTL|18819|-|-|-|3941|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_08
12|ROSS 15-28H|SESE    28 156 92 |MTL|18763|-|-|-|5564|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_08
13|ROSS 20-16H|NWNW    16 156 92 |MTL|16587|-|-|-|6834|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2010_08
14|ANDERSON      11-13H|NWNW    13 155 92 |MTL|18647|-|-|-|2599|-|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - CONFIDENTIA|2010_08
15|EN-ABRAHAMSON-155-93- 3019H-1|SWSE    30 155 93 |MTL|18838|-|-|-|11589|-|14393|HESS CORPORATION|ALGER - CONFIDENTIA|2010_08
16|EN-REHAK-155-93- 0718H-1|NENW    7  155 93 |MTL|18674|-|-|-|8865|-|8661|HESS CORPORATION|ALGER - CONFIDENTIA|2010_08
17|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|1890|967|27|1537|802|533|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
18|ANDERSON 28-33 1-H|NWNW    28 155 92 |MTL|17351|6706|2343|29|6431|4918|2601|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
19|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|895|314|31|898|523|309|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
20|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|1643|902|30|1764|1441|934|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
21|HYNEK 2 1H|LOT 4   2  155 93 |MTL|16898|527|342|27|652|214|80|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
22|JACK CVANCARA 19-18 1-H|SWSE    19 155 92 |MTL|18628|16036|6550|31|17149|15473|10393|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
23|JEROME ANDERSON 15-10 1-H|SWSE    15 155 92 |MTL|18547|9431|4210|31|9386|7795|4777|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
24|LIFFRIG 29-20 1-H|SWSE    29 156 93 |MTL|18371|6722|6184|31|7332|7315|4253|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
25|MANITOU STATE 36 #1-H|SESE    36 156 93 |MTL|17018|811|780|31|860|225|101|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
26|SORENSON 29-32 1-H|NWNE    29 155 92 |MTL|18654|11972|3474|29|11756|10449|5630|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
27|STROBECK 27-34 1-H|NWNW    27 155 92 |MTL|17724|5292|3297|27|5527|4852|3210|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2010_08
28|ROSS  10-18H|SWSE    18 156 92 |MTL|18024|SI|0|0|0|0|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_08
29|ROSS  4-05H|SESE    5  156 92 |MTL|17526|3598|2602|31|3285|2760|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_08
30|ROSS 100-09H|SWSW    9  156 92 |MTL|18444|4537|3281|31|4658|2677|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_08
31|ROSS 1-09H|SWSE    9  156 92 |MTL|17950|2377|1474|31|2361|1907|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_08
32|ROSS 21-04H|LOT1    4  156 92 |MTL|18310|3573|2837|31|3374|2391|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_08
33|ROSS 3-04H|LOT3    4  156 92 |MTL|17795|3027|2037|31|2880|2279|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_08
34|ROSS 5-08H|SWSE    8  156 92 |MTL|17531|3464|1752|31|3168|2470|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_08
35|ROSS 7-17H|NW NW 17 156 92   |MTL|16586|1747|1354|26|1741|1284|0|EOG RESOURCES, INC.|ALGER - BAKKE|2010_08
36|BAKKE  11-24H|NWNW    24 155 92 |MTL|17359|1958|1357|26|1336|579|2|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2010_08
37|EN-CVANCARA-155-93- 1522H-1|NENW    15 155 93 |MTL|17389|1856|468|31|1856|2144|2144|HESS CORPORATION|ALGER - BAKKE|2010_08
38|EN-DOBROVOLNY-155-93- 2128H-1|NWNE    21 155 93 |MTL|18405|1636|542|16|1652|1117|1117|HESS CORPORATION|ALGER - BAKKE|2010_08
39|EN-HYNEK-155-93- 0112H-1|NENW    1  155 93 |MTL|17378|1439|939|31|1504|1804|1804|HESS CORPORATION|ALGER - BAKKE|2010_08
40|EN-SKABO TRUST-155-93- 0631H-1|SWSE    6  155 93 |MTL|18677|0|0|0|46|0|0|HESS CORPORATION|ALGER - BAKKE|2010_08
41|EN-STATE B-155-93- 1609H-1|SESE    16 155 93 |MTL|18229|4264|1181|31|4269|3565|3565|HESS CORPORATION|ALGER - BAKKE|2010_08
42|RS-ANDERSON-156-92- 3229H-1|SESE    32 156 92 |MTL|17664|2681|718|31|2590|2832|2832|HESS CORPORATION|ALGER - BAKKE|2010_08
43|RS-STATE D-155-92- 0203H-1|SESE   2  155 92 |MTL|17792|1609|655|31|1608|1156|1156|HESS CORPORATION|ALGER - BAKKE|2010_08
44|RS-THOMPSON-155-92- 0112H-1|LOT 4  1  155 92 |MTL|17572|3581|845|31|3577|2943|2943|HESS CORPORATION|ALGER - BAKKE|2010_08
45|HYNEK 5693 42-35H|SESW   35 156 93 |MTL|18466|8177|5760|31|8101|6623|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2010_08
46|MELL 44-21H|SESE   21 156 93 |MTL|17477|988|416|31|960|832|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2010_08
47|EMMA 31X-30|NWNE   30 155 94 |MTL|18501|-|-|-|9773|-|0|XTO ENERGY INC.|ALKALI CREEK - CONFIDENTIA|2010_08
48|EN-LABAR-154-94 0310H-1|NWNW   3  154 94 |MTL|17561|0|0|0|56|0|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_08
49|EN-MOE-154-94- 0508H-1|LOT 1  5  154 94 |MTL|17077|1067|524|31|1006|3628|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_08
50|EN-PEDERSON-154-94- 0409H-1|LOT 1  4  154 94 |MTL|17099|1591|581|31|1496|3531|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_08
51|NELSON  14-33H|SWSW   33 155 94 |MTL|16552|59|51|2|211|82|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_08
52|SARA G. BARSTAD 6-44H|SWSW   6  154 94 |MTL|15889|267|1092|31|212|975|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2010_08
53|HOVE 11X-35|NWNW   35 155 95 |WIL|15757|264|240|31|446|760|388|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_08
54|KRIEGER  42X-17|SENE   17 154 94 |MTL|18169|2811|1173|31|2742|4469|4314|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_08
55|MARMON 41X-12|NENE   12 154 95 |WIL|18143|2915|914|30|3339|4443|4443|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_08
56|MARMON HAHN TRUST 11X-11|NWNW   11 154 95 |WIL|16315|5135|3971|31|5298|8461|8337|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_08
57|MOE STATE 31X-36|NWNE   36 155 95 |WIL|17869|1460|772|28|1697|2443|2359|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2010_08
58|RADENIC 14-20H|SESW   20 163 99 |DIV|18663|-|-|-|12548|-|4486|SM ENERGY COMPANY|AMBROSE - CONFIDENTIA|2010_08
59|FURHMAN 36-162-99H|NWNW   36 162 99 |DIV|18280|1587|3480|31|1556|2134|0|BAYTEX ENERGY USA LTD|AMBROSE - BAKKE|2010_08
60|HANSEN 13-162-99H|SESE   13 162 99 |DIV|18728|5405|6528|31|5524|2127|0|BAYTEX ENERGY USA LTD|AMBROSE - BAKKE|2010_08
61|LARSON  11-162-99H|NWNW   11 162 99 |DIV|16794|956|812|31|668|1079|0|BAYTEX ENERGY USA LTD|AMBROSE - BAKKE|2010_08
62|MYERS 2-162-99H|SESE   2  162 99 |DIV|18659|5018|3789|31|4809|3737|0|BAYTEX ENERGY USA LTD|AMBROSE - BAKKE|2010_08
63|HANSON 30-163-98H|LOT 4  30 163 98 |DIV|16549|980|215|31|973|1475|583|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2010_08
64|HAUGLAND 31-163-98H|NWNW   31 163 98 |DIV|16562|1057|445|31|985|1574|376|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2010_08
65|LOKKEN 35-163-99H|NENE   35 163 99 |DIV|17226|1005|2627|31|976|1720|0|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2010_08
66|LYSTAD  26-163-99H|SESE   26 163 99 |DIV|17183|1879|1744|31|2005|2560|0|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2010_08
67|STROM 25-36-163-99H|SESE   25 163 99 |DIV|16124|1375|347|31|1641|325|27|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2010_08
68|VASSEN 27-163-99H|SESE   27 163 99 |DIV|18255|5462|3496|31|5549|3170|0|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2010_08
69|ENERSON 4-29H|NWNW   29 163 99 |DIV|18757|5619|9604|31|5732|1997|1725|SM ENERGY COMPANY|AMBROSE - BAKKE|2010_08
70|TORGESON 3-30H|NENW   30 163 99 |DIV|18285|6182|2826|31|6127|3113|2958|SM ENERGY COMPANY|AMBROSE - BAKKE|2010_08
71|THOMPSON     44-16H|SESE   16 163 99 |DIV|14888|299|4|31|446|1457|0|ABRAXAS PETROLEUM CORP.|AMBROSE - DUPERO|2010_08
72|BUBLITZ  34-22-2|SWSE   22 163 99 |DIV|11438|181|0|31|217|725|694|DAVID H. ARRINGTON OIL & GAS, INC.|AMBROSE - DUPERO|2010_08
73|BUBLITZ  42-22-1|SENE   22 163 99 |DIV|11201|34|0|31|212|0|0|DAVID H. ARRINGTON OIL & GAS, INC.|AMBROSE - DUPERO|2010_08
