|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD      23-6|SENW    23 151 101|MCK|9132|713|10|25|642|624|479|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2009_02
1|BOLKEN    24-12|NWSW    24 151 101|MCK|9617|300|1980|24|414|360|187|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_02
2|SKEDSVOLD      1|SENE    23 151 101|MCK|8165|228|839|28|174|367|248|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_02
3|SOVIG   25-2|NWNE    25 151 101|MCK|9844|28|108|15|0|90|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2009_02
4|HANSEN 2-23|W2SE    23 151 101|MCK|15670|558|296|25|704|3960|3860|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2009_02
5|SKEDSVOLD      1|SENE    23 151 101|MCK|8165|60|0|28|46|139|66|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2009_02
6|RS-THOMPSON-155-92- 0112H-1|LOT 4   1  155 92 |MTL|17572|-|-|-|6073|-|0|HESS CORPORATION|ALGER - CONFIDENTIA|2009_02
7|ADIX 25 1-H|NWNW    25 155 92 |MTL|17481|7489|3717|28|7623|4800|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_02
8|BAKKE 23 1-H|NWNW    23 155 92 |MTL|16893|SI|0|0|0|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_02
9|CARKUFF 22 1-H|SESE    22 155 92 |MTL|17165|4465|1789|28|4167|3935|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_02
10|HYNEK 2 1H|LOT 4   2  155 93 |MTL|16898|938|556|28|1001|1960|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_02
11|MANITOU STATE 36 #1-H|SESE    36 156 93 |MTL|17018|1318|1212|28|1993|2455|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2009_02
12|BAKKE   11-24H|NWNW    24 155 92 |MTL|17359|6319|1062|29|6108|8847|0|FIDELITY EXPLORATION & PRODUCTION COMPANY|ALGER - BAKKE|2009_02
13|EN-CVANCARA-155-93- 1522H-1|NENW    15 155 93 |MTL|17389|2315|360|28|2734|2327|0|HESS CORPORATION|ALGER - BAKKE|2009_02
14|EN-HYNEK-155-93- 0112H-1|NENW    1  155 93 |MTL|17378|3155|1045|28|3534|2606|0|HESS CORPORATION|ALGER - BAKKE|2009_02
15|MELL 44-21H|SESE    21 156 93 |MTL|17477|2588|1312|28|2807|3176|0|OASIS PETROLEUM NORTH AMERICA LLC|ALGER - BAKKE|2009_02
16|EN-LABAR-154-94 0310H-1|NWNW    3  154 94 |MTL|17561|-|-|-|3699|-|0|HESS CORPORATION|ALKALI CREEK - CONFIDENTIA|2009_02
17|EN-MOE-154-94- 0508H-1|LOT 1   5  154 94 |MTL|17077|1659|403|26|1690|3891|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2009_02
18|EN-PEDERSON-154-94- 0409H-1|LOT 1   4  154 94 |MTL|17099|3721|805|26|3694|4397|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2009_02
19|SARA G. BARSTAD 6-44H|SWSW    6  154 94 |MTL|15889|SI|0|0|0|0|0|HESS CORPORATION|ALKALI CREEK - BAKKE|2009_02
20|NELSON   14-33H|SWSW    33 155 94 |MTL|16552|135|216|19|192|97|0|MARATHON OIL COMPANY|ALKALI CREEK - BAKKE|2009_02
21|HOVE 11X-35|NWNW    35 155 95 |WIL|15757|265|173|20|226|587|333|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2009_02
22|MARMON HAHN TRUST 11X-11|NWNW    11 154 95 |WIL|16315|2246|336|28|1865|2995|2912|XTO ENERGY INC.|ALKALI CREEK - BAKKE|2009_02
23|HANSON 30-163-98H|LOT 4   30 163 98 |DIV|16549|1186|230|28|943|1651|1382|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_02
24|HAUGLAND 31-163-98H|NWNW    31 163 98 |DIV|16562|1254|520|28|1265|1861|1592|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_02
25|LARSON   11-162-99H|NWNW    11 162 99 |DIV|16794|1959|1584|28|1978|1431|1169|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_02
26|LOKKEN 35-163-99H|NENE    35 163 99 |DIV|17226|2545|5021|28|1985|2419|1731|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_02
27|LYSTAD  26-163-99H|SESE    26 163 99 |DIV|17183|1500|1400|27|1400|951|724|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_02
28|STROM 25-36-163-99H|SESE    25 163 99 |DIV|16124|1581|362|28|1190|1793|1524|SAMSON RESOURCES COMPANY|AMBROSE - BAKKE|2009_02
29|THOMPSON     44-16H|SESE    16 163 99 |DIV|14888|308|6|28|455|1376|0|ABRAXAS PETROLEUM CORP.|AMBROSE - DUPERO|2009_02
30|BUBLITZ   34-22-2|SWSE    22 163 99 |DIV|11438|182|0|28|207|319|291|DAVID H. ARRINGTON OIL & GAS, INC.|AMBROSE - DUPERO|2009_02
31|BUBLITZ   42-22-1|SENE    22 163 99 |DIV|11201|45|0|28|0|0|0|DAVID H. ARRINGTON OIL & GAS, INC.|AMBROSE - DUPERO|2009_02
32|STATE-HENNING       32-14-1|SWNE    14 163 99 |DIV|10298|230|2204|25|0|329|16|WHITING OIL AND GAS CORPORATION|AMBROSE - DUPERO|2009_02
33|TORGESON       34-15-1|SWSE    15 163 99 |DIV|10301|121|0|28|0|308|0|WHITING OIL AND GAS CORPORATION|AMBROSE - DUPERO|2009_02
34|AMOR - RED RIVER N UNIT TOTAL : 1 well||||1852|3975|28|1715|86|44|LUFF EXPLORATION COMPANY|AMOR - RED RIVE|2009_02
35|AMOR - RED RIVER S UNIT TOTAL : 6 wells||||7247|8989|139|7201|213|4|LUFF EXPLORATION COMPANY|AMOR - RED RIVE|2009_02
36|GROSS     1-8|SESE    8  130 103|BO|6639|714|4480|20|957|1262|0|LUFF EXPLORATION COMPANY|AMOR - RED RIVER|2009_02
37|WERRE B-17H|NWNE    17 129 103|BO|16426|468|8332|28|450|653|0|LUFF EXPLORATION COMPANY|AMOR - RED RIVER|2009_02
38|AN-NORBY-152-94- 0409H-1|LOT 1   4  152 94 |MCK|17609|-|-|-|9830|-|12804|HESS CORPORATION|ANTELOPE - CONFIDENTIA|2009_02
39|ANTELOPE - DEVONIAN UNIT   TOTAL : 4 wells||||3102|13867|106|3019|2754|2754|HESS CORPORATION|ANTELOPE - DEVONIA|2009_02
40|ANTELOPE - MADISON UNIT   TOTAL : 7 wells||||3209|20398|127|3233|40262|40262|HESS CORPORATION|ANTELOPE - MADISO|2009_02
41|MCKEEN     30-23|NESW    30 153 94 |MCK|12589|624|106|28|692|6948|6948|HESS CORPORATION|ANTELOPE - RED RIVE|2009_02
42|FOX   1|SWNW    34 152 94 |MCK|12198|478|22|28|695|238|238|CONTINENTAL RESOURCES, INC.|ANTELOPE - SANIS|2009_02
43|GUDBRANSON       1|NWSE    34 152 94 |MCK|12979|213|35|20|455|0|0|CONTINENTAL RESOURCES, INC.|ANTELOPE - SANIS|2009_02
44|ROSE    1|SENE    33 152 94 |MCK|12019|473|40|23|239|15|15|CONTINENTAL RESOURCES, INC.|ANTELOPE - SANIS|2009_02
45|WOLF FEDERAL       1|SESW    34 152 94 |MCK|12643|487|0|28|745|259|259|CONTINENTAL RESOURCES, INC.|ANTELOPE - SANIS|2009_02
46|DRAGS WOLF     1|NWSW    27 152 94 |MCK|4168|308|0|9|0|NR|NR|DAKOTA-3, LLC|ANTELOPE - SANIS|2009_02
47|AN-EVENSON-152-95- 0310H-1|LOT 2   3  152 95 |MCK|17214|4991|500|28|4701|8005|8005|HESS CORPORATION|ANTELOPE - SANIS|2009_02
48|BRENNA-LACEY UNIT       1|LT2     1  152 95 |MCK|1350|1702|1132|25|1645|7878|7878|HESS CORPORATION|ANTELOPE - SANIS|2009_02
49|MYRMIDON 1-2H|LOT 1   2  151 94 |MCK|17008|933|143|28|1182|1022|0|MARATHON OIL COMPANY|ANTELOPE - SANIS|2009_02
50|MELBY     42-8|SENE    8  152 94 |MCK|8908|11|3|3|0|3|0|PHILLIP D. ARMSTRONG|ANTELOPE - SANIS|2009_02
51|ELLA MANY RIBS     2-B|NENW    21 152 94 |MCK|12284|150|56|28|216|510|510|PRIMA EXPLORATION, INC.|ANTELOPE - SANIS|2009_02
52|ELLA MANY RIBS     A-1|SWSW    21 152 94 |MCK|1306|73|0|3|0|0|0|PRIMA EXPLORATION, INC.|ANTELOPE - SANIS|2009_02
53|KATE HOPKINS     1|SWNE   21 152 94 |MCK|1509|239|25|28|219|952|952|PRIMA EXPLORATION, INC.|ANTELOPE - SANIS|2009_02
54|"WOODROW STAR ""A""        1"|SWSE    21 152 94 |MCK|1987|0|0|0|0|0|0|PRIMA EXPLORATION, INC.|ANTELOPE - SANIS|2009_02
55|D. GILBERTSON      1-A|SWNW    29 153 94 |MCK|4695|101|25|3|230|131|106|RANCH OIL COMPANY|ANTELOPE - SANIS|2009_02
56|PRONGHORN      1|NESE    17 152 94 |MCK|11686|516|23|28|717|4708|4708|RANCH OIL COMPANY|ANTELOPE - SANIS|2009_02
57|ANTELOPE UNIT B      1|C NW    1  152 95 |MCK|3086|1272|13091|23|1214|1828|1828|HESS CORPORATION|ANTELOPE - SILURIA|2009_02
58|BRENNA-LACEY 1       32|LT7     1  152 95 |MCK|13405|56|395|28|57|38608|38608|HESS CORPORATION|ANTELOPE - WINNIPEG/DEADWOO|2009_02
59|OSCAR MOE      32-43|NESE    32 153 94 |MCK|13647|44|295|28|45|25526|25526|HESS CORPORATION|ANTELOPE - WINNIPEG/DEADWOO|2009_02
60|ANTLER - MADISON UNIT     TOTAL : 8 wells||||930|30812|224|1088|145|0|WARD-WILLISTON COMPANY|ANTLER - MADISO|2009_02
61|HEGGEN    33R-29|NWSE    29 150 100|MCK|5774|233|1450|27|219|202|0|MUREX PETROLEUM CORPORATION|ARNEGARD - MADISO|2009_02
62|ARNEGARD 22A-2-1|NWNE    22 150 100|MCK|17339|1646|319|28|1720|10535|10535|PETRO-HUNT, L.L.C.|ARNEGARD - RED RIVE|2009_02
63|KATE WHITE 1-34|SENW    34 129 102|BO|16384|269|1138|28|229|171|171|CONTINENTAL RESOURCES, INC.|ASH - RED RIVE|2009_02
64|C. WOLF 1-14|NWNE    14 142 102|BIL|12964|81|28|28|0|1148|808|XTO ENERGY INC.|ASH COULEE - BAKKE|2009_02
65|DEBRA RAUCH       1-1 (H)|SESE    1  142 102|BIL|12937|49|35|25|0|1344|1194|XTO ENERGY INC.|ASH COULEE - BAKKE|2009_02
66|KETCH   1-17|SESW    17 142 101|BIL|12887|78|52|26|0|1410|1384|XTO ENERGY INC.|ASH COULEE - BAKKE|2009_02
67|NANCY RAUCH       21-1(H)|SWNW    21 142 101|BIL|12967|245|20|28|0|537|145|XTO ENERGY INC.|ASH COULEE - BAKKE|2009_02
68|NAUTILUS 1-11|SESW    11 142 102|BIL|12920|68|35|28|0|1658|1655|XTO ENERGY INC.|ASH COULEE - BAKKE|2009_02
69|RACHEL SHAPIRO      5-1|SESE    5  142 101|BIL|12815|100|73|28|0|3550|3382|XTO ENERGY INC.|ASH COULEE - BAKKE|2009_02
70|STATE   36-1|SWSE    36 143 102|BIL|13004|146|0|28|0|5643|5475|XTO ENERGY INC.|ASH COULEE - BAKKE|2009_02
71|OLSEN 9210 JV-P     1|SWNW    14 142 102|BIL|14958|635|38|28|768|723|703|BTA OIL PRODUCERS, LLC|ASH COULEE - BIRDBEA|2009_02
72|SHAPIRO 14-1H|SWSW    1  142 102|BIL|16179|634|238|27|274|1481|1229|WHITING OIL AND GAS CORPORATION|ASH COULEE - BIRDBEA|2009_02
73|SAMANTHA SHAPIRO 9-1 (H)|NWNW    9  142 101|BIL|12938|TA|0|0|0|0|0|XTO ENERGY INC.|ASH COULEE - BIRDBEA|2009_02
74|KOCH    1-24-X|NESW    24 151 104|MCK|9702|123|639|28|0|196|0|ABRAXAS PETROLEUM CORP.|ASSINIBOINE - MADISO|2009_02
75|THORSON      24-32X|SWNE    24 151 104|MCK|10463|228|1449|24|198|0|0|WILLISTON INDUSTRIAL SUPPLY CORPORATION|ASSINIBOINE - MADISO|2009_02
76|DONAHUE      1-23|NENE    23 154 100|WIL|8646|291|272|28|357|311|226|CITATION OIL & GAS CORP.|AVOCA - MADISO|2009_02
77|ETZEL   1-23|NESW    23 154 100|WIL|9468|348|317|28|267|193|113|CITATION OIL & GAS CORP.|AVOCA - MADISO|2009_02
78|SOC MINERALS      1|SWSW    13 154 100|WIL|8256|SI|0|0|0|0|0|GALAXY OIL|AVOCA - MADISO|2009_02
79|ALFRED HANSEN 24-11H|SESW    11 145 93 |DUN|17216|-|-|-|5312|-|0|MARATHON OIL COMPANY|BAILEY - CONFIDENTIA|2009_02
80|QUILL 34-11H|SWSE    11 145 93 |DUN|17528|-|-|-|6397|-|0|MARATHON OIL COMPANY|BAILEY - CONFIDENTIA|2009_02
81|BISON POINT 14-34H|SWSW    34 147 94 |DUN|17106|2697|286|28|2770|2006|1776|BURLINGTON RESOURCES OIL & GAS COMPANY LP|BAILEY - BAKKE|2009_02
82|BURNER 41-26H|NENE    26 147 95 |DUN|16912|616|448|7|415|236|236|BURLINGTON RESOURCES OIL & GAS COMPANY LP|BAILEY - BAKKE|2009_02
83|ANGELITA SCHOLLMEYER 34-24H|SWSE    24 145 94 |DUN|16975|2674|685|28|2615|1175|1175|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
84|APPLEDOORN 14-19H|SWSW    19 145 93 |DUN|16923|3384|845|27|3318|1273|1273|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
85|BECK  14-8H|SWSW    8  146 94 |DUN|16735|2016|386|28|1983|1787|1787|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
86|BECK 24-8H|SWSW    8  146 94 |DUN|16677|SI|0|0|0|0|0|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
87|BENZ  24-21H|SESW    21 146 94 |DUN|16726|1357|479|28|1170|763|763|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
88|BILL CONNOLLY 21-25H|NENW    25 146 94 |DUN|16736|3013|702|28|2894|1750|1750|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
89|BOB TUHY 44-19H|SESE    19 146 94 |DUN|16666|4662|877|28|4724|2894|2894|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
90|BUEHNER 34-12H|SWSE    12 146 94 |DUN|16654|2443|503|28|2568|1517|1517|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
91|BUEHNER 44-12H|SESE    12 146 94 |DUN|16993|1431|39|28|1503|617|617|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
92|CARLSON 21-29H|NENW    29 146 94 |DUN|16611|2072|409|28|2106|1378|1378|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
93|CHIMNEY BUTTE 34-11H|SWSE    11 146 94 |DUN|17498|3400|553|28|3399|1714|1714|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
94|CHRISTENSEN 34-33H|SWSE    33 146 93 |DUN|16952|3343|922|28|3406|1237|1237|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
95|CLARENCE SCHOLLMEYER 34-36H|SWSE    36 145 94 |DUN|16817|2290|498|28|2107|837|837|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
96|CLIVE PELTON 34-23H|SWSE    23 146 93 |DUN|17318|2522|537|28|2471|953|953|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
97|CONNOLLY 31-14H|NWNE    14 146 94 |DUN|16187|1390|254|28|1490|584|446|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
98|DAN TUHY 14-32H|SWSW    32 146 94 |DUN|17064|3591|423|28|3485|1867|1867|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
99|DARCY 34-32H|SWSE    32 146 93 |DUN|16704|3072|920|28|3080|1515|1515|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
100|DAVID BECK - USA 24-7H|SESW    7  146 94 |DUN|17537|4119|962|23|4110|2157|2157|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
101|FEDORA 34-22H|SWSE    22 146 94 |DUN|15854|2227|1613|28|2173|1297|1297|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
102|FETTIG 41-27H|NENE    27 146 95 |DUN|16998|1853|312|28|2092|785|785|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
103|FLECKENSTEIN 21-16H|NENW    16 146 93 |DUN|17199|1360|395|14|1395|551|551|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
104|FRED HANSEN 34-8H|SWSE    8  145 93 |DUN|17171|2628|584|28|2878|1024|1024|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
105|GEORGE TUHY 11-18H|NWNW    18 146 94 |DUN|16807|2900|361|28|2863|1200|1200|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
106|GRANT CARLSON 14-31H|SWSW    31 146 94 |DUN|16891|2225|412|28|2084|1217|1217|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
107|GRANT CARLSON 24-31H|SESW   31 146 94 |DUN|16759|3497|509|28|3453|1976|1976|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
108|HANSEN RANCH       14-10H|SWSW   10 146 93 |DUN|16853|2195|1187|13|1792|848|848|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
109|HAROLD BENZ 24-24H|SESW   24 146 95 |DUN|17333|2399|415|28|2115|1290|1290|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
110|KEVIN BUEHNER      11-18H|LOT 1  18 146 93 |DUN|16715|2247|559|28|2275|819|819|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
111|KEVIN BUEHNER 31-18H|NWNE   18 146 93 |DUN|16992|2634|116|25|2651|1235|1235|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
112|KLATT 31-14H|NWNE   14 146 95 |DUN|16366|560|67|28|659|333|333|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
113|KNUDSVIG 24-7H|SESW   7  145 93 |DUN|16868|3957|833|28|3944|2026|2026|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
114|KNUTSON 21-2H|NENW   2  145 94 |DUN|16582|1417|334|28|1430|755|755|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
115|KUPPER  34-10H|SWSE   10 146 95 |DUN|16626|3009|470|28|3160|4259|4259|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
116|KUPPER  43-10H|NESE   10 146 95 |DUN|16940|1862|271|28|2010|29|29|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
117|LILY REISS 41-14H|NENE   14 145 94 |DUN|16909|1756|238|28|1895|721|721|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
118|MARLIN 14-12H|SWSW   12 146 95 |DUN|16908|1187|308|6|1662|1|1|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
119|MARLIN 24-12H|SESW   12 146 95 |DUN|16180|8148|4822|26|7646|5257|5132|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
120|MARY HANSEN 14-9H|SWSW   9  145 93 |DUN|16925|1988|710|23|1938|810|810|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
121|OLSON 14-20H|SWSW   20 146 94 |DUN|17417|3614|1093|26|3057|1567|1567|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
122|OSCAR STOHLER 41-4H|LOT 1  4  146 94 |DUN|16459|3524|148|24|3170|2262|2262|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
123|PAM RECKARD 11-27H|NWNW   27 146 94 |DUN|17107|2667|6|25|2619|43|41|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
124|PAULSON 14-9H|SWSW   9  146 93 |DUN|16982|2127|355|28|2218|1072|1072|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
125|PELTON  24-31H|SESW   31 146 93 |DUN|17255|3273|762|28|3364|1415|1415|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
126|RECKARD 31-27H|NWNE   27 146 94 |DUN|16365|2667|1140|27|3030|3096|2969|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
127|REPP 34-34H|SWSE   34 146 93 |DUN|16753|2138|622|28|2157|700|700|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
128|REPP TRUST    34-9H|SWSE   9  145 93 |DUN|17164|2489|595|28|2655|922|922|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
129|ROSEMARY ECKELBERG 41-26H|NENE   26 146 93 |DUN|17310|1857|163|28|1475|680|680|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
130|STOHLER 21-3H|NENW   3  146 94 |DUN|16333|4413|837|28|4121|2067|1980|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
131|STOHLER 41-3H|LOT 1  3  146 94 |DUN|16860|619|15|28|737|1266|1213|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
132|T. KUPPER 14-11H|SWSW   11 146 95 |DUN|17311|2805|610|28|3085|1907|1907|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
133|TED KUPPER    14-23H|SWSW   23 146 95 |DUN|17176|2924|570|28|2985|1623|1623|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
134|TROTTER 14-23H|SWSW   23 146 94 |DUN|16875|618|43|21|472|231|231|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
135|VIHON 44-8H|SESE   8  146 93 |DUN|16729|2270|635|28|2241|1268|1268|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
136|VOIGT 11-15H|NWNW   15 146 93 |DUN|16964|3977|1094|28|3981|1655|1655|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
137|WARDNER 14-35H|SWSW   35 146 95 |DUN|17413|2752|1070|28|2874|1282|1282|MARATHON OIL COMPANY|BAILEY - BAKKE|2009_02
138|BUEHNER  21-2H|LOT 3  2  146 94 |DUN|16393|255|57|5|251|203|195|PDC CORPORATION|BAILEY - BAKKE|2009_02
139|CONNOLLY 34-35H|SWSE   35 146 94 |DUN|16221|785|142|28|730|505|505|PDC CORPORATION|BAILEY - BAKKE|2009_02
140|KLATT 34-33H|SWSE   33 146 94 |DUN|16372|1036|162|28|993|793|793|PDC CORPORATION|BAILEY - BAKKE|2009_02
141|TRAMPE 1-1H|NENW   1  144 94 |DUN|16744|800|352|28|968|68|68|TRACKER RESOURCE DEVELOPMENT II, LLC|BAILEY - BAKKE|2009_02
142|CORPS OF ENGINEERS        31-10|NWNE   10 153 101|MCK|11920|929|2198|28|1301|1312|416|ST MARY LAND & EXPLORATION COMPANY|BAKER - DUPERO|2009_02
143|BASIC GAME AND FISH       34-3|SWSW   2  153 101|MCK|11745|825|309|28|1084|950|334|ST MARY LAND & EXPLORATION COMPANY|BAKER - MADISO|2009_02
144|LEWIS AND CLARK 2-4H|SENE   4  153 101|MCK|15358|627|668|28|661|697|103|ST MARY LAND & EXPLORATION COMPANY|BAKER - MADISO|2009_02
145|LINDVIG 1-11HR|SESE   11 153 101|MCK|9309|662|1126|28|625|935|319|ST MARY LAND & EXPLORATION COMPANY|BAKER - MADISO|2009_02
146|M&G 14-2HR|SWSW   2  153 101|MCK|11751|SI|0|0|0|0|0|ST MARY LAND & EXPLORATION COMPANY|BAKER - MADISO|2009_02
147|FRENCH-PINNEY      24-3|SESW   3  153 101|MCK|12129|0|0|0|0|0|0|ST MARY LAND & EXPLORATION COMPANY|BAKER - RED RIVE|2009_02
148|ROSEBUD      22-11|SENW   11 153 101|MCK|11549|110|0|27|0|1877|1688|ST MARY LAND & EXPLORATION COMPANY|BAKER - RED RIVE|2009_02
149|WIL E. COYOTE 9-2H|SESE   9  152 98 |MCK|17514|2839|0|9|2535|NR|NR|PANTHER ENERGY COMPANY, LLC|BANKS - BAKKE|2009_02
150|LM 2|NENW   15 152 98 |MCK|16135|595|711|22|231|0|0|MISSOURI BASIN WELL SERVICE, INC.|BANKS - MADISO|2009_02
