|WELL_NAME|LOCATION|COUNTY|FILE|OIL|WATER|DAYS|RUNS|GAS|GAS_SOLD|COMPANY|FORMATION|REPORTED_ON
0|SKEDSVOLD     23-6|SENW  23 151 101|MCK|9132|1037|7|28|1613|936|776|TAQA NORTH USA, INC.|ALEXANDER - DUPERO|2011_06
1|BOLKEN   24-12|NWSW  24 151 101|MCK|9617|228|117|13|213|268|174|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_06
2|SKEDSVOLD     1|SENE  23 151 101|MCK|8165|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_06
3|SOVIG  25-2|NWNE  25 151 101|MCK|9844|75|295|29|217|172|0|TAQA NORTH USA, INC.|ALEXANDER - MADISO|2011_06
4|HANSEN 2-23|W2SE  23 151 101|MCK|15670|10|0|1|0|4|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2011_06
5|SKEDSVOLD     1|SENE  23 151 101|MCK|8165|SI|0|0|0|0|0|TAQA NORTH USA, INC.|ALEXANDER - RED RIVE|2011_06
6|SCHA 33-34 1-H|SWNW  33 156 92 |MTL|19861|-|-|-|6037|-|1934|BRIGHAM OIL & GAS, L.P.|ALGER - CONFIDENTIA|2011_06
7|ROSS  29-1716H|NWNE  17 156 92 |MTL|19722|-|-|-|6279|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_06
8|ROSS 27-2728H|SESW  27 156 92 |MTL|19560|-|-|-|8408|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_06
9|ROSS 31-0806H|SESW  8  156 92 |MTL|19679|-|-|-|10382|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_06
10|ROSS 32-1707H|SESW  17 156 92 |MTL|19767|-|-|-|9630|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_06
11|ROSS 33-0434H|SESW  4  156 92 |MTL|19793|-|-|-|9552|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_06
12|ROSS 34-0533H|SESW  5  156 92 |MTL|19794|-|-|-|9536|-|0|EOG RESOURCES, INC.|ALGER - CONFIDENTIA|2011_06
13|ADIX 25 1-H|NWNW  25 155 92 |MTL|17481|2347|1229|30|2439|1783|1783|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
14|ANDERSON 28-33 1-H|NWNW  28 155 92 |MTL|17351|5073|1958|30|4828|3136|3136|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
15|ARVID ANDERSON 14-11 1-H|SWSE  14 155 92 |MTL|19198|9758|4759|30|9639|3425|2106|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
16|BAKKE 23 1-H|NWNW  23 155 92 |MTL|16893|0|0|1|366|0|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
17|BROWN 30-19 1-H|SWSE  30 156 93 |MTL|18760|12254|6596|27|12202|16665|14648|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
18|CARKUFF 22 1-H|SESE  22 155 92 |MTL|17165|1970|1046|30|1903|1259|1259|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
19|CLIFFORD BAKKE 26-35 1-H|NENW  26 155 92 |MTL|18896|15508|4267|30|15798|4278|2240|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
20|CVANCARA 20-17 1-H|SESE  20 155 92 |MTL|17355|14938|6227|29|14421|11474|8171|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
21|DOMASKIN 30-31 1-H|NWNE  30 155 92 |MTL|19057|8094|3108|27|8521|7705|7705|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
22|ESTHER HYNEK 10-11 1-H|SWNW  10 155 93 |MTL|18881|10055|7300|26|9742|9163|2756|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
23|HOSPITAL 31-36 1-H|NESE  31 156 92 |MTL|19532|6074|4604|30|5893|3624|0|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
24|HYNEK 2 1H|LOT 4 2  155 93 |MTL|16898|514|294|30|676|196|196|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
25|JACK CVANCARA 19-18 1-H|SWSE  19 155 92 |MTL|18628|11629|5039|30|11258|8905|8905|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
26|JEROME ANDERSON 15-10 1-H|SWSE  15 155 92 |MTL|18547|6190|2822|30|6004|4882|4882|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
27|LIFFRIG 29-20 1-H|SWSE  29 156 93 |MTL|18371|3770|2785|30|3520|2704|2704|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
28|MANITOU STATE 36 1-H|SESE  36 156 93 |MTL|17018|2442|3769|29|2633|1761|1761|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
29|ROGER SORENSON 8-5 1H|SWSE  8  155 92 |MTL|19070|6571|3729|29|6540|3837|3577|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
30|ROSS-ALGER 6-7 1-H|SESW  31 156 92 |MTL|18784|5619|2147|17|4448|4332|2868|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
31|SORENSON 29-32 1-H|NWNE  29 155 92 |MTL|18654|7944|2879|30|7648|5614|5614|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
32|SORENSON 29-32 2-H|SESE  20 155 92 |MTL|19513|14538|5561|30|13960|12864|1726|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
33|STROBECK 27-34 1-H|NWNW  27 155 92 |MTL|17724|3200|2022|24|3022|2128|2128|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
34|VACHAL 3-34 1-H|SESW  3  155 93 |MTL|19764|16050|9806|30|15878|18167|15879|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
35|WRIGHT 4-33 1-H|SESW  4  155 93 |MTL|18744|5457|3428|27|5442|4496|4316|BRIGHAM OIL & GAS, L.P.|ALGER - BAKKE|2011_06
36|ROSS  10-18H|SWSE  18 156 92 |MTL|18024|2082|1008|27|1938|1331|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_06
37|ROSS  18-10H|SESE  10 156 92 |MTL|18843|2266|1543|29|1826|1283|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_06
38|ROSS  4-05H|SESE  5  156 92 |MTL|17526|2472|1875|30|1964|1815|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_06
39|ROSS 100-09H|SWSW  9  156 92 |MTL|18444|1831|1200|30|1506|1145|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_06
40|ROSS 1-09H|SWSE  9  156 92 |MTL|17950|1054|798|16|1123|862|0|EOG RESOURCES, INC.|ALGER - BAKKE|2011_06
